Year	K_F	K_M
1986	0.67053901	0.72664806
1987	0.52537388	0.58599202
1988	0.57955919	0.61001939
1989	0.60740734	0.67825948
1990	0.56793637	0.62359777
1991	0.52435083	0.57931786
1992	0.60039989	0.63800806
1993	0.59413632	0.62667423
1994	0.61877836	
1995	0.42809018	0.53300602
1996	0.615771	0.66288038
1997	0.59418263	0.63710748
1998	0.60824258	0.66998354
1999	0.56038046	0.59423149
2000	0.50622513	0.55070436
2001	0.59036759	0.60876445
2002	0.61806689	0.64400202
2003	0.65312556	0.66261207
2004	0.64611613	0.72178757
2005	0.60925919	0.68323901
2006	0.64617244	0.70113933
2007	0.64619253	0.67694969
2008	0.63646114	0.66925547
2009	0.62160636	0.63814933
2010	0.70241062	0.71740885
2011	0.63668705	0.67030463
2012	0.612955	0.64260398
2013	0.59332751	0.65781954
2014	0.56755947	0.58660162
2015	0.61318443	0.64838622
2016	0.62640155	0.64453551
2017	0.52459489	0.5784741
