Year,sle_SST_May-Nov,wGSL_SST_May-Nov,eGSL_SST_May-Nov,sGSL_SST_May-Nov,sle_T300,wGSL_T300,eGSL_T300,sle_CILVol,wGSL_CILVol,eGSL_CILVol,sGSL_CILVol,sle_IceVol,wGSL_IceVol,eGSL_IceVol,sGSL_IceVol
1985,-0.44,-0.55,-0.75,-0.83,-0.573769879,-0.559330389,0.150180065,-1.507274186,-1.867820602,-0.038726587,0.054840826,0.494963901,-0.481247604,-0.004434517,-0.300732964
1986,-0.95,-0.98,-0.89,-1.26,-0.024571663,0.065709301,2.673205159,0.105253601,0.030121965,0.19648274,-0.080200745,-0.409455187,-0.23453206,0.135354079,-0.276814648
1987,-0.54,-0.84,-0.04,-0.51,-0.295291035,1.604268536,1.276530553,0.899447513,0.540556675,0.83376574,0.394346746,0.3963,0.345706349,-0.404891705,0.46704499
1988,-0.3,-0.4,-0.51,-0.84,1.084170733,1.363868655,0.60072026,-0.297807983,-0.29194804,-0.522195663,-0.300515044,0.840287552,1.273174041,0.258259995,-0.079089899
1989,-1.26,-1,-0.86,-0.72,1.213495274,0.834988918,0.015018007,0.130735874,0.06011456,0.474992309,0.364548841,-0.228571369,-0.380733864,0.362932615,-0.689804243
1990,-0.78,-0.99,-1.13,-0.61,0.696197111,-0.222770556,-0.030036013,-0.722151703,-0.333433124,0.488947961,0.439677602,-0.672558922,0.236054996,2.21192381,-0.142074799
1991,-0.64,-0.76,-0.88,-0.35,-1.243671,-0.799730269,-2.057466892,1.941904152,1.96730718,1.769020787,0.524316333,-0.754778839,-0.138587127,0.400074513,-0.599711918
1992,-1.12,-1.22,-1.17,-1.06,-1.15745464,-1.713249815,-1.877250814,0.702430786,1.377265959,1.284269301,1.879804023,1.103391287,1.305155686,0.754610809,0.474220485
1993,0.32,0.09,-0.69,-0.38,-1.847185524,-2.001729672,-0.34541415,0.275922047,0.649314866,0.815359366,0.456795548,1.202055188,2.113834413,1.737858135,2.717758556
1994,0.89,0.77,0.24,0.61,-1.976510065,-0.992050174,1.54685467,0.810681735,0.196062299,0.413285692,1.269263964,0.938951453,0.295449478,1.989072425,2.076747679
1995,0.39,0.77,0.64,0.63,-1.11434646,-0.992050174,-0.030036013,1.285903401,0.904952678,1.166136585,1.366582655,2.435353944,1.670660195,1.057823755,1.245187548
1996,0.26,0.46,0.53,0.59,-1.20056282,-0.895890221,0.555666241,0.874549795,0.987081931,0.64344081,0.613710049,0.198972199,0.829999824,0.012448163,0.224672718
1997,0.03,0.18,-0.16,-0.19,-0.553940116,-0.367010484,0.510612221,-0.318375663,-0.150394208,0.161329582,0.489446444,-0.836998756,0.802586985,0.680327013,0.48697692
1998,0.23,0.79,0.35,0.35,-0.510831936,-0.17469058,-0.841008365,1.20363268,0.382184566,0.128364067,1.50320922,-0.195683403,-0.773651212,-0.95931894,-0.884339882
1999,0.47,0.76,0.88,0.77,0.48065621,-0.17469058,-0.615738267,0.366852844,-0.187674723,-1.770585385,-0.044379859,-1.560534026,-0.38530267,-0.539277843,-0.087062671
2000,0.26,0.16,0.36,0.26,-0.209074674,-0.607410365,-0.030036013,-0.819577557,-1.063626653,-2.264615495,-0.827367369,-1.067214524,-0.691412697,-0.980253464,-0.904271813
2001,0.57,0.35,0.78,1.02,-0.295291035,-0.270850532,0.240288104,-1.30237679,-0.234485594,0.448514286,-0.180689425,-0.590339005,-0.746238373,-0.717558952,0.372169002
2002,0.22,-0.37,-0.4,-0.12,0.351331669,0.161869253,0.555666241,-1.289386676,-1.142392251,-0.50114903,-0.918663079,0.692291702,0.021321096,-0.439332373,-0.415540882
2003,-0.08,0.02,0.15,0.08,0.954846193,0.594589038,0.735882319,1.114866902,0.715747061,1.074104713,0.795350471,-0.886330706,-0.709687923,1.878997346,1.531410067
2004,-0.16,-0.1,-0.05,-0.3,0.56687257,0.642669014,0.780936338,0.743566146,0.612594961,-0.415830957,-0.386104772,1.054059337,-1.25337588,-0.445410138,0.48139598
2005,0.15,0.47,0.52,0.47,0.739305291,0.594589038,0.015018007,0.538971853,0.428995437,-1.206701575,-0.942438003,0.264748133,0.240623802,-0.419748464,0.600987562
2006,0.81,0.91,1.64,1.2,0.609980751,0.354189157,0.015018007,-2.284212897,-2.917841701,-1.69130219,-1.251195022,-1.215210374,-1.363027233,-1.501590646,-1.427285663
2007,0.13,-0.32,-0.04,0.11,0.825521652,0.258029205,-0.34541415,-0.564105318,0.230539767,0.095172244,-0.460916534,-1.642753943,-1.609742777,-0.900567211,-0.89629904
2008,0.57,0.71,0.82,0.39,0.351331669,0.065709301,-0.660792286,-0.079141066,0.107766345,0.723704673,0.861286261,-0.672558922,1.638678551,-0.232688361,0.034123465
2009,0.06,0.12,-0.01,0.14,0.178898948,-0.511250413,-1.336602579,-0.084553613,-0.225515846,-0.333379452,-1.127565415,-0.853442739,-0.458403572,-0.436631144,0.529232613
2010,0.71,0.98,0.67,0.56,-1.071238279,-1.04013015,-0.660792286,-0.751379459,-0.775473506,-1.258601516,-1.142147368,-1.149434441,-2.034641769,-1.579250977,-2.06829654
2011,0.65,0.6,-0.01,0.1,-0.683264657,-0.655490341,0.330396143,-1.829558912,-2.411331256,-2.132149947,-1.08825754,-1.428982159,-1.984384899,-1.600185501,-1.78526313
2012,1.05,0.87,1.34,1.13,-0.079750133,0.258029205,1.366638592,-2.733454336,-2.991561815,-3.035797327,-1.882340015,-1.198766391,-1.084330045,-1.517798019,-1.354733437
2013,-0.33,-0.07,0.25,0.37,0.56687257,0.834988918,1.501800651,-0.412553989,-1.452409158,-2.38425693,-0.666331881,-1.461870126,-1.701118904,-1.082224856,-0.625224789
2014,1.18,1.51,0.92,0.51,1.127278914,1.315788679,1.727070749,-1.188713293,-0.971967043,-0.469918542,1.042926684,-0.294347303,0.656385182,2.708949932,0.603379393
2015,0.99,0.53,0.16,0.29,2.075658879,2.181228249,2.447935061,-1.590324314,-2.498786297,-1.176225447,-0.257403182,0.281192116,0.8848255,0.129951621,0.304400439
2016,1.42,0.99,0.49,0.61,2.16187524,2.373548153,3.168799374,-2.343750919,-2.821977521,-1.47668688,-0.841632324,-1.576978009,-1.390440071,-1.505642489,-1.709521795
