Year,Cf_Timing_max_C1-3_G1,Cf_Timing_max_C1-3_G2,Cf_G2G1_maxC1-3
1992,2.03,-0.97,-0.52
1993,2.03,-0.97,-0.52
1994,2.03,-0.97,-0.52
1995,1.29,0.63,-0.45
1996,-0.27,0.18,-0.56
1997,2.70,-1.14,-0.51
1998,-0.04,-1.19,-0.31
1999,0.33,-1.23,-0.24
2000,1.29,0.01,-0.46
2001,-1.90,-0.66,-0.41
2002,0.62,0.58,-0.55
2003,0.62,-0.97,-0.57
2004,1.00,0.85,0.91
2005,0.92,-0.35,-0.14
2006,-1.23,-0.35,0.02
2007,-0.86,0.76,-0.32
2008,-0.86,2.35,-0.53
2009,0.03,-0.17,-0.60
2010,0.03,-0.83,2.89
2011,-0.12,-0.21,-0.60
2012,-1.31,-0.21,0.42
2013,-0.41,-2.42,4.54
2014,1.66,0.58,-0.10
2015,0.48,0.23,-0.26
2016,-3.23,1.02,-0.57
