"Year","3Ps.spring","3LNO.spring","2J.fall","3K.fall","3LNO.fall","4V","4W","4X"
1980,1.86,1.94,2.07,2.11,1.66013635566777,4.38,7.03,7.64
1981,3.52,2.63,2.53,2.19,1.70626995632472,4.37,6.94,6.9
1982,1.99,1.51,1.76,0.91,0.968132345813561,2.82,5.71,7.47
1983,2.58,3.15,1.7,1.87,1.52173555369693,3.42,6.31,7.39
1984,3.56,1.71,1.81,1.99,1.59093595468235,5.18,7.65,7.91
1985,2.35,1.48,1.92,1.3,1.19303364901618,3.41,7.59,8.47
1986,2.83,0.75,2.14,2.33,1.78700375747438,3.84,7.32,7.78
1987,2.22,1.14,1.63,1.8,1.4813686531221,2.76,5.86,6.31
1988,2.53,1.35,2.13,1.99,1.59093595468235,4.14,5.82,7.12
1989,2.26,0.94,1.82,2.04,1.61976945509294,2.87,6.09,7.25
1990,1.79,0.27,1.99,1.62,1.55,2.61,6.02,7.14
1991,2.18,0.39,2.12,1.76,1.67,2.58,5.76,6.66
1992,2.18,0.68,1.74,1.24,1.2,3.26,6.21,7.44
1993,2.41,0.99,1.92,1.33,1.03,3.35,6.69,7.06
1994,2.5,0.99,1.97,1.55,1.07,2.96,6.63,8.14
1995,2.18,1,1.99,2.11,1.74,3.22,6.59,6.78
1996,2.74,1.35,2.62,2.15,1.75,2.91,6.16,7
1997,2.4,1.13,2.39,2.44,1.82,3.44,6.23,7.42
1998,2.57,1.71,2.5,2.27,1.91,3.42,4.94,5.51
1999,3.04,1.99,2.8,2.79,2.64,3.97,6.7,7.91
2000,3.16,1.98,2.57,2.2,1.73,4.19,7.35,8.27
2001,2.33,1.57,2.74,2.3,1.82,3.44,5.75,6.38
2002,2.64,1.53,2.63,2.41,1.75,3.8,6.65,8.12
2003,1.93,1.15,2.93,2.52,1.78,2.73,5.71,7.45
2004,2.6,2.29,3.03,2.77,2.11,2.77,4.67,6.05
2005,2.99,1.86,3.01,2.73,2.5,3.87,6.29,7.28
2006,2.95643356889111,1.51200142546226,2.67,2.3,1.78,4.2,7.36,8.15
2007,2.15,1.81,2.97,3.09,1.8,3.24,5.6,6.25
2008,2.21,1.83,2.6,2.48,1.7,3.48,5.36,6.88
2009,2.65,1.81,2.66,2.56,1.77,3.75,6.6,7.24
2010,3,2.02,3.16,2.94,2.22,3.83,6.86,7.57
2011,3.33,2.71,3.26,3.54,2.47,4.22,6.52,7.7
2012,3.32,2.34,2.86,2.78,1.84,4.51,8.07,9.36
2013,2.95,2.02,2.7,2.42,1.82,4.09,6.91,8.29
2014,2.98,1.42,2.67,2.31,1.77547035731014,4.56,8.31,8.91
2015,2.88,1.45,2.46,2.55,1.61,5.15,7.92,8.15
2016,3.41,1.53,2.8,2.42,1.78,4.78,8.09,9.1
