# AZMP_CIL_ICE_NAO.dat   2017-02-23 11:48
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Cold Intermediate Layer (CIL) temperature minimum areaa or volumes
# Sea ice volumes
# NAO index, Roger's Dec-Jan-Feb index
#
# col  1: Year
# col  2: CIL, Seal Island 0C Area (km^2)
# col  3: CIL, White Bay 0C Area (km^2)
# col  4: CIL, Bonavista 0C Area (km^2)
# col  5: CIL, Flemish Cap 0C Area (km^2)
# col  6: sGSL, Sep. T<1C Btm Area (x10^3 km^2)
# col  7: CIL, GSL Gilbert & Pettigrew 1997 T min index (degC)
# col  8: CIL, GSL Aug-Sep T<1C Volume (x10^3 km^3)
# col  9: CIL, Scotian Shelf T<4C Volume (x10^3 km^3)
# col 10: Sea Ice, Labrador + Nfld, DJFMAMJ avg (km^3)
# col 11: Sea Ice, GSL + SS, JFM avg (km^3)
# col 12: NAO index, Roger's Dec-Jan-Feb index (mB)
#
# Missing value parameter: -99
#
#Yr    SI   WB Bona   FC sGSL  GP97  GSLv   SSv IceNL IceGSL  NAO
1895  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99   2.16
1896  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  16.62
1897  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  20.69
1898  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  26.72
1899  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  13.76
1900  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  12.92
1901  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  14.06
1902  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  10.69
1903  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  25.66
1904  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  26.16
1905  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  21.09
1906  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  27.79
1907  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  25.92
1908  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  26.46
1909  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  24.46
1910  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  28.16
1911  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  21.79
1912  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  12.59
1913  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  24.12
1914  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  23.36
1915  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  24.59
1916  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  24.12
1917  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99   4.76
1918  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  11.99
1919  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  14.76
1920  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  17.43
1921  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  20.06
1922  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  32.56
1923  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  26.39
1924  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  20.79
1925  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  33.42
1926  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  14.62
1927  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  21.76
1928  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  23.46
1929  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99   8.26
1930  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  27.92
1931  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  26.89
1932  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  12.09
1933  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  19.36
1934  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  22.12
1935  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  22.66
1936  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99   2.42
1937  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  25.49
1938  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  19.59
1939  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  21.72
1940  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99   3.46
1941  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99   8.02
1942  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  15.89
1943  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  24.19
1944  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  22.22
1945  -99  -99  -99  -99  -99   -99   -99   -99   -99  -99  21.39
1946  -99  -99  -99  -99  -99 -0.29   -99   -99   -99  -99  17.96
1947  -99  -99  -99  -99  -99 -0.49   -99   -99   -99  -99   9.89
1948 23.3  -99 17.5  -99  -99  0.29   -99   -99   -99  -99  15.29
1949 35.1  -99  -99  -99  -99  0.28   -99   -99   -99  -99  26.56
1950 27.0  -99 28.7  -99  -99 -0.26   -99   -99   -99  -99  22.96
1951 22.1  -99 23.9 23.9  -99  0.25   -99   -99   -99  -99  21.56
1952 28.3  -99 32.0 23.7  -99  0.38   -99   -99   -99  -99  25.62
1953 27.1  -99 21.9 19.0  -99  0.37   -99   -99   -99  -99  15.62
1954 34.1  -99 28.1 28.9  -99  0.08   -99   -99   -99  -99  24.29
1955 21.3  -99 28.8 29.9  -99  0.07   -99   -99   -99  -99  12.29
1956 30.3  -99 19.1 25.5  -99 -0.12   -99   -99   -99  -99   9.96
1957 34.1  -99 16.3 31.1  -99 -0.23   -99   -99   -99  -99  24.96
1958 26.6  -99 20.4 19.4  -99  0.68   -99   -99   -99  -99  15.29
1959 31.3  -99 25.1 21.0  -99 -0.30   -99   -99   -99  -99  12.62
1960 30.4  -99 22.8 23.7  -99  0.31   -99   -99   -99  -99   9.62
1961 21.2  -99 18.7 29.5  -99 -0.37   -99   -99   -99  -99  26.62
1962 24.1  -99 15.8 12.8  -99  0.03   -99   -99   -99  -99  16.62
1963 22.7  -99 18.0 23.8  -99 -0.16   -99   -99   -99  -99  -0.71
1964 23.6  -99 20.9 24.1 30.7  0.71   -99   -99   -99  -99   5.96
1965  8.4  -99 12.7 22.9 34.1  1.19   -99   -99   -99  -99   7.62
1966  -99  -99  -99  4.0 33.7  1.35   -99   -99   -99  -99   4.29
1967  -99  -99  -99 20.2 35.5  0.27   -99   -99   -99  -99  21.62
1968 33.3  -99  -99 14.7 32.9  1.45   -99   -99   -99  -99  12.62
1969 30.8  -99 27.7 20.9 18.7  0.50   -99   -99   -99  6.6  -0.38
1970 25.3  -99 28.7 14.2 18.2  0.73   -99   -99   -99 16.3  16.29
1971 27.6  -99 27.2 26.7 30.1  0.31   -99   -99   -99 34.3  15.32
1972 44.6  -99 43.2 35.4 30.5 -0.16   -99   -99   -99 51.2  22.49
1973 32.2  -99 36.0 35.0 29.3 -0.26   -99   -99   -99 56.2  29.02
1974 19.2  -99 18.8 32.5 27.3 -0.51  9.83   -99   -99 47.0  27.56
1975 31.5  -99 27.1 24.7 31.7 -0.45   -99   -99   -99 46.5  24.26
1976 29.6  -99 27.8 19.0 33.2 -0.49   -99   -99   -99 40.2  22.86
1977 27.1  -99 21.1 26.8 17.2 -0.20   -99   -99   -99 58.6   5.56
1978 13.6  -99 15.3 24.0 36.6 -0.33   -99   -99   -99 37.0  11.19
1979 26.8  -99 23.7 22.5 32.1  0.60   -99   -99   -99 44.9   3.36
1980 26.1  -99  -99 23.1 22.8  1.43   -99  4.38  32.5 25.6  17.12
1981 24.6 45.3 23.5 23.7 31.9  0.36   -99  4.14  20.0 22.8  25.32
1982 33.6  -99  -99  -99 15.7  0.15   -99  4.05  33.8 33.5  15.09
1983 35.0 61.0 37.6  -99 25.4  0.27   -99  4.35  82.3 23.1  27.06
1984 40.9 78.9 49.6 35.8 38.7 -0.33   -99  4.33  93.7 37.4  31.02
1985 34.3 62.4 36.3 32.6 33.7 -0.26  9.05  4.47  90.0 43.6   9.79
1986 21.3 51.5 20.5 34.2 29.0 -0.88  9.63  4.57  32.8 42.2  11.19
1987 32.8 46.7 19.3 26.0 31.9 -0.73 10.89  5.09  48.0 42.6  11.86
1988 25.1 63.0 29.1 29.8 29.1 -0.46  8.55   -99  38.5 41.7  16.02
1989  -99 71.4 28.7 32.7 34.3 -0.64 10.15   -99  35.9 44.8  34.36
1990 38.7 84.1 43.3 28.3 30.7 -0.88  9.98  5.84  65.6 62.1  29.86
1991 39.5 73.0 44.4 37.0 30.8 -0.89 12.76  6.46  98.0 49.3  23.62
1992 33.1 74.1 28.4 31.6 37.5 -0.83 12.27  6.24  81.4 52.2  22.76
1993 34.4 71.3 33.4 34.9 30.9 -0.75 10.88  6.11  94.8 70.5  28.29
1994 33.6 73.2 28.2 28.4 34.2 -0.87 10.49  5.78 101.0 71.8  24.06
1995 19.2 48.5 19.7 29.8 35.7 -0.80 11.81  5.87  64.5 52.4  31.79
1996 24.8 57.4 24.1 24.4 31.7 -0.65 10.88  5.97  24.9 38.5   8.53
1997 17.3 51.4 19.3 29.8 30.9 -0.51  9.71  6.30  45.9 40.0  15.29
1998 23.8 43.5 25.4 24.8 36.6 -0.77 10.35  7.22  44.5 19.6  17.83
1999 13.8 42.4 20.2 21.5 27.0 -0.20  7.07  4.98  31.2 27.6  30.99
2000 30.8 60.4 27.0 22.1 27.0  0.10  5.75  3.46  34.6 16.1  30.26
2001 24.7 49.3 17.5 25.7 30.5 -0.23  9.73  6.95  29.9 24.1  12.46
