# AZMP_SST.dat   2017-02-16 14:43
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
#
# Sea-surface temperatures averaged over NAFO areas (cut-off at the shelf
# break) and the GSL.
#
# col  1: Year
# col  2: 2J, June-Nov
# col  3: 3K, June-Nov
# col  4: 3L, May-Dec
# col  5: 3N, Mar-Dec
# col  6: 3O, Jan-Dec
# col  7: 3P, Apr-Dec
# col  8: GSL, May-Nov (excluding estuary)
# col  9: Estuary, June-Nov
# col 10: 4V, Apr-Dec
# col 11: 4W, Jan-Dec
# col 12: 4X SS, Jan-Dec
# col 13: 4X eGoM+BoF, Jan-Dec
#
# Missing value parameter: -99
#
#Yr    2J   3K   3L   3N   3O    3P   GSL Estuary  4V    4W  4XSS eGoM+BoF
1985 3.31 5.43 5.48 5.67 6.00  6.96  8.88  6.91  7.71  7.11  7.20 7.69
1986 3.47 5.71 6.17 6.41 6.52  7.38  8.59  6.18  7.93  7.33  7.52 7.90
1987 3.25 5.96 6.84 6.98 7.42  8.50  9.33  6.76  9.12  8.18  7.76 7.34
1988 3.59 6.20 7.11 7.85 8.06  8.15  9.03  6.95  8.53  7.78  6.96 7.28
1989 2.74 5.44 5.96 7.45 7.99  7.67  8.80  6.13  8.68  8.04  7.66 7.46
1990 2.80 5.25 5.94 6.41 6.93  7.57  8.73  6.50  8.29  7.69  7.74 7.63
1991 2.39 4.59 5.19 5.75 6.37  7.14  8.95  6.71  8.24  7.77  7.40 7.42
1992 2.76 4.86 5.01 5.64 6.54  7.61  8.49  6.21  8.55  8.05  7.47 6.75
1993 4.05 5.65 6.29 6.78 7.51  8.57  9.15  7.81  9.26  8.75  8.31 7.84
1994 4.65 6.96 7.79 8.42 8.43  9.11 10.08  8.14 10.01  9.48  8.82 9.17
1995 4.06 5.92 6.49 6.58 7.35  8.47 10.29  7.80  9.47  8.82  8.78 8.29
1996 3.29 5.94 7.03 7.54 8.30  8.81 10.16  7.69  9.45  8.55  8.16 7.89
1997 4.00 6.44 6.64 6.88 7.16  8.06  9.50  7.43  8.77  8.15  7.99 8.22
1998 4.73 7.30 7.71 8.24 8.46  9.21 10.01  7.51 10.03  8.76  8.21 7.90
1999 4.22 6.82 7.83 8.65 9.36  9.70 10.47  7.70 10.52  9.80  9.04 9.06
2000 4.99 7.35 7.72 8.59 9.32  9.22  9.96  7.67  9.92  9.43  9.07 8.97
2001 4.19 6.82 7.43 7.81 8.06  9.01 10.44  7.71 10.01  8.97  8.51 8.08
2002 3.60 6.13 6.56 7.24 7.81  7.87  9.34  7.67  8.87  8.63  8.70 8.80
2003 5.11 7.00 7.34 7.64 7.89  8.76  9.78  7.40  9.61  8.68  7.89 7.78
2004 4.95 7.10 7.13 7.88 7.91  8.45  9.49  7.32  9.05  8.34  8.14 7.35
2005 4.86 7.60 7.76 7.86 8.52  9.21 10.14  7.69  9.99  9.17  8.57 7.84
2006 5.34 8.21 8.36 9.34 9.15  9.35 11.02  8.17 10.19  9.46  8.94 8.84
2007 4.14 6.33 7.17 8.04 8.15  8.24  9.61  7.49  9.04  8.29  7.87 7.82
2008 5.66 8.00 7.74 8.23 8.13  8.68 10.29  7.92  9.36  8.41  8.38 8.23
2009 4.22 5.95 6.42 7.51 8.36  8.51  9.69  7.55  9.37  8.69  8.52 8.44
2010 4.70 6.89 7.15 7.74 7.67  8.96 10.29  8.00 10.02  9.22  8.92 8.62
2011 4.56 6.67 6.78 8.23 8.35  8.35  9.73  8.17  9.21  8.81  8.75 8.65
2012 5.51 7.89 8.15 8.83 9.38 10.12 10.83  8.48 10.83 10.20 10.07 9.82
2013 3.86 6.10 7.30 8.70 8.89  9.47  9.89  7.01 10.26  9.41  8.90 9.06
2014 4.86 7.59 7.82 7.54 8.33  9.65 10.46  8.54 10.31  9.50  8.76 9.08
2015 3.90 5.76 6.42 7.08 8.02  8.58  9.91  8.47  9.58  9.33  9.05 8.74
2016 3.68 6.28 6.76 7.44 8.32  9.18 10.23  8.81 10.00  9.65  9.41 9.59
