Year,Region,Bloom start,Bloom duration
1998,Cabot Strait,83.4,31.1
1999,Cabot Strait,80.7,23.5
2000,Cabot Strait,89.7,15.5
2001,Cabot Strait,100.9,41.1
2002,Cabot Strait,95.4,15.3
2003,Cabot Strait,103.4,14.2
2004,Cabot Strait,101.4,31.6
2005,Cabot Strait,93,36.5
2006,Cabot Strait,84.8,33.4
2007,Cabot Strait,94.1,36.8
2008,Cabot Strait,116.1,21.7
2009,Cabot Strait,91.1,40.5
2010,Cabot Strait,58.4,50.7
2011,Cabot Strait,100,24.3
2012,Cabot Strait,68.2,65.7
2013,Cabot Strait,80.8,45.4
2014,Cabot Strait,104.4,15
2015,Cabot Strait,118.3,20.1
2016,Cabot Strait,49,81.8
1998,Northwest GSL,98.1,39.3
1999,Northwest GSL,114.9,52.3
2000,Northwest GSL,110.1,87.1
2001,Northwest GSL,101.6,51.2
2002,Northwest GSL,125,14.8
2003,Northwest GSL,108.7,71.3
2004,Northwest GSL,117,51.8
2005,Northwest GSL,96.4,23.3
2006,Northwest GSL,102.1,25.6
2007,Northwest GSL,111.5,41.7
2008,Northwest GSL,114.1,28.8
2009,Northwest GSL,112,21.1
2010,Northwest GSL,75.4,32.8
2011,Northwest GSL,98,45.2
2012,Northwest GSL,98.5,20.7
2013,Northwest GSL,106.2,42.4
2014,Northwest GSL,112,74.3
2015,Northwest GSL,117.7,28.7
2016,Northwest GSL,108.7,15.5
1998,Magdalen Shallows,94.6,34.8
1999,Magdalen Shallows,78.5,28.6
2000,Magdalen Shallows,83.4,68.1
2001,Magdalen Shallows,98.5,25
2002,Magdalen Shallows,84.4,40.5
2003,Magdalen Shallows,94.5,37.5
2004,Magdalen Shallows,102.7,15
2005,Magdalen Shallows,n.d.,n.d.
2006,Magdalen Shallows,106.3,16.2
2007,Magdalen Shallows,86.4,48.6
2008,Magdalen Shallows,102.5,25.1
2009,Magdalen Shallows,99.3,36.3
2010,Magdalen Shallows,63.3,50.9
2011,Magdalen Shallows,95.4,34.6
2012,Magdalen Shallows,73.4,37.3
2013,Magdalen Shallows,78.1,54.3
2014,Magdalen Shallows,104,29.5
2015,Magdalen Shallows,108,25.1
2016,Magdalen Shallows,69.6,53.8
1998,Northeast GSL,92.5,26.6
1999,Northeast GSL,98.7,27.1
2000,Northeast GSL,118.2,17.8
2001,Northeast GSL,99.2,29
2002,Northeast GSL,101.2,46.7
2003,Northeast GSL,108.3,99.9
2004,Northeast GSL,88.8,40.4
2005,Northeast GSL,102.2,17.1
2006,Northeast GSL,88.7,34.1
2007,Northeast GSL,104.1,23.6
2008,Northeast GSL,100.9,38.1
2009,Northeast GSL,92.1,28.3
2010,Northeast GSL,85.4,21.9
2011,Northeast GSL,116.4,13.4
2012,Northeast GSL,113.1,17.9
2013,Northeast GSL,89.2,36
2014,Northeast GSL,111.8,31.1
2015,Northeast GSL,122.2,19.7
2016,Northeast GSL,99.3,23.9
