"SQL> SELECT YEAR,MISSION,G.STRAT,SETNO,SLAT,SLONG,AREA, DISTNO, DISTWT,G.SURFACE_TEMPERATURE,G.BOTTOM_TEMPERATURE,G.BOTTOM_SALINITY",,,,,,,,,,,
"         FROM GS19702017_SPEC60 G,GROUNDFISH.GSSTRATUM S ",,,,,,,,,,,
         WHERE S.STRAT=G.STRAT AND TYPE=1 AND YEAR>=1970,,,,,,,,,,,
"         AND G.STRAT in('440','441','442','443','444','445','446','447','448','449','450','451','452','453','454','455','456','457','458','459','464','460','461','462',",,,,,,,,,,,
"  '463','465','466','470','471','472','473','474','475','476','477','478','480','481','482','483','484','485','490','491','492','493','494','495')",,,,,,,,,,,
"         ORDER BY YEAR,MISSION,SETNO;",,,,,,,,,,,
,,,,,,,,,,,
YEAR,MISSION,STRAT,SETNO,SLAT,SLONG,AREA,DISTNO,DISTWT,SURF_T,BOT_T,BOT_S
1970,ATC1970175,492,1,4448,6642,1086,13.695652,5.326087,8.7,6.78,32.25
1970,ATC1970175,493,2,4504,6612,533,0,0,8.9,6.72,32.1
1970,ATC1970175,492,3,4459,6555,1086,0,0,10.7,7.13,32.39
1970,ATC1970175,494,4,4512,6525,417,0,0,,8.69,31.26
1970,ATC1970175,494,6,4518,6509,417,2.058824,0,10.4,9.37,30.99
1970,ATC1970175,495,7,4516,6453,584,0,0,10.7,6.72,30.91
1970,ATC1970175,495,8,4506,6507,584,14.318182,3.977273,9,8.71,31.27
1970,ATC1970175,490,9,4450,6549,601,0,0,12.1,6.81,32.39
1970,ATC1970175,492,10,4443,6628,1086,0,0,11,6.29,33.22
1970,ATC1970175,491,12,4429,6624,687,0,0,9.6,6.42,33.4
1970,ATC1970175,490,13,4408,6634,601,3.088235,1.029412,10.1,7.61,32.88
1970,ATC1970175,491,14,4409,6652,687,0,0,12.5,6.53,33.91
1970,ATC1970175,484,15,4412,6726,2264,0,0,13.6,6.9,34.14
1970,ATC1970175,484,16,4345,6727,2264,0.972222,0,14.3,6.82,34.33
1970,ATC1970175,485,17,4340,6708,1582,0,0,12,6.59,34.05
1970,ATC1970175,485,18,4334,6632,1582,0,0,12.8,6.24,33.21
1970,ATC1970175,481,19,4243,6637,1875,0,0,12.2,5.77,33.58
1970,ATC1970175,482,20,4238,6650,1042,0,0,14.9,6.92,34.56
1970,ATC1970175,483,21,4228,6720,532,0,0,15.3,6.71,34.76
1970,ATC1970175,483,22,4229,6642,532,0,0,16.1,6.9,34.81
1970,ATC1970175,482,23,4227,6617,1042,0,0,13.9,7.11,34.69
