year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1948,-0.011,-0.023,0.032,-0.066,0,0.059,-0.035,-0.018,-0.048,0.012,0.139,0.067
1949,0.158,0.165,0.043,0.103,-0.019,0.006,0.076,0.107,0.075,0.109,0.113,0.123
1950,0.116,-0.029,-0.101,-0.126,-0.053,-0.038,-0.051,0.025,0.015,-0.085,0.085,0.093
1951,0.108,0.003,0.017,0.174,0.177,0.294,0.427,0.308,0.254,0.264,0.18,0.18
1952,0.177,0.188,0.235,0.196,0.186,0.388,0.377,0.409,0.367,0.359,0.255,0.345
1953,0.27,0.19,0.146,0.318,0.347,0.28,0.349,0.263,0.285,0.153,0.249,0.263
1954,0.232,0.1,0.106,-0.008,0.075,0.104,-0.04,-0.009,-0.006,-0.027,-0.022,-0.046
1955,0.081,0.045,0.046,0.1,0.181,0.199,0.273,0.18,0.208,0.284,0.391,0.261
1956,0.191,0.099,0.019,0.068,-0.053,-0.259,-0.085,-0.093,-0.084,-0.038,-0.082,0.024
1957,-0.076,-0.101,-0.014,-0.069,-0.116,-0.007,0.045,0.207,0.226,0.154,0.089,0.084
1958,0.054,0.194,0.349,0.351,0.206,0.226,0.169,0.166,0.217,0.157,0.19,0.224
1959,0.105,0.119,-0.022,0.001,0.012,-0.055,-0.027,0.017,0.13,0.117,0.056,0.114
1960,0.181,0.221,0.093,0.101,0.307,0.324,0.275,0.34,0.215,0.301,0.255,0.142
1961,0.065,0.086,0.153,0.231,0.198,0.037,-0.014,0.04,0.007,0.034,0.072,0.218
1962,0.153,0.156,0.17,0.092,0.027,-0.067,-0.004,-0.059,0.009,0.07,0.051,0.194
1963,0.162,0.17,0.138,0.108,-0.08,-0.043,-0.031,-0.069,-0.198,-0.067,-0.053,-0.056
1964,-0.071,0.026,0.044,-0.142,0.045,0.008,-0.14,-0.23,-0.216,-0.267,-0.162,-0.117
1965,-0.194,-0.173,-0.073,-0.093,-0.094,-0.122,-0.184,-0.206,-0.218,-0.244,-0.272,-0.119
1966,-0.072,0.014,-0.006,0.048,0.005,-0.041,-0.052,-0.039,0.004,0.017,0.007,0.084
1967,0.085,0.092,-0.03,-0.011,-0.183,-0.257,-0.226,-0.161,-0.093,-0.096,-0.23,-0.149
1968,-0.243,-0.194,-0.205,-0.152,-0.12,-0.258,-0.225,-0.21,-0.146,-0.109,-0.104,-0.123
1969,-0.059,0.108,0.211,0.153,0.014,0.032,0.097,-0.097,-0.103,-0.181,-0.12,-0.028
1970,-0.006,-0.045,0.023,0.024,-0.043,-0.178,-0.196,-0.137,-0.134,-0.192,-0.236,-0.205
1971,-0.242,-0.288,-0.306,-0.409,-0.322,-0.359,-0.345,-0.431,-0.362,-0.231,-0.239,-0.304
1972,-0.313,-0.376,-0.435,-0.322,-0.464,-0.484,-0.371,-0.379,-0.298,-0.282,-0.272,-0.346
1973,-0.369,-0.389,-0.339,-0.26,-0.164,-0.17,-0.099,-0.128,-0.126,-0.211,-0.204,-0.233
1974,-0.271,-0.279,-0.396,-0.518,-0.495,-0.442,-0.51,-0.463,-0.501,-0.503,-0.421,-0.356
1975,-0.268,-0.333,-0.304,-0.34,-0.383,-0.29,-0.266,-0.18,-0.33,-0.348,-0.336,-0.316
1976,-0.379,-0.436,-0.488,-0.421,-0.483,-0.478,-0.302,-0.18,-0.187,-0.288,-0.41,-0.426
1977,-0.384,-0.327,-0.177,-0.211,-0.164,-0.101,-0.1,-0.139,-0.226,-0.218,-0.137,-0.199
1978,-0.1,-0.141,-0.152,-0.189,-0.198,-0.327,-0.27,-0.221,-0.184,-0.201,-0.113,-0.176
1979,-0.186,-0.145,-0.221,-0.23,-0.111,-0.035,-0.088,-0.108,-0.103,-0.081,-0.078,-0.052
1980,0.006,-0.071,-0.131,0.007,0.137,0.116,0.058,0.03,-0.001,-0.054,-0.19,-0.242
1981,-0.17,-0.168,0.013,-0.083,-0.072,-0.05,-0.082,-0.103,-0.024,-0.174,-0.124,0.006
