# AZMP_BottomTemp.dat   2020-03-27 17:22
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Fred Cyr
#
# Bottom temperatures
#
# col  1: Year
# col  2: 3Ps, spring
# col  3: 3LNO, spring
# col  4: 2J, fall
# col  5: 3K, fall
# col  6: 3LNO, fall
# col  7: Mecatina Trough, >100 m, August
# col  8: nGSL, >200 m, August
# col  9: nGSL, <200 m, August
# col 10: Magdalen Shallows, >30 m, September
# col 11: 4V, July
# col 12: 4W, July
# col 13: 4X, July
#
# Missing value parameter: -99
#
#Yr   3Ps 3LNO   2J   3K 3LNO  Meca  nG>  nG< MagS   4V   4W   4X
1964  -99  -99  -99  -99  -99   -99  -99  -99 1.11  -99  -99  -99
1965  -99  -99  -99  -99  -99   -99  -99  -99 1.14  -99  -99  -99
1966  -99  -99  -99  -99  -99   -99  -99  -99 1.20  -99  -99  -99
1967  -99  -99  -99  -99  -99  0.71  -99  -99 0.95  -99  -99  -99
1968  -99  -99  -99  -99  -99   -99  -99  -99 1.35  -99  -99  -99
1969  -99  -99  -99  -99  -99   -99  -99 2.90 1.68  -99  -99  -99
1970  -99  -99  -99  -99  -99   -99  -99 3.20 1.44 3.98 5.62 6.33
1971  -99  -99  -99  -99  -99   -99  -99  -99 1.61 3.59 6.56 7.11
1972  -99  -99  -99  -99  -99   -99  -99 2.43 1.53 3.68 6.58 6.30
1973  -99  -99  -99  -99  -99 -1.17  -99  -99 1.60 3.12 5.98 7.84
1974  -99  -99  -99  -99  -99 -1.18 4.80 2.29 1.32 3.79 7.23 8.08
1975  -99  -99  -99  -99  -99   -99  -99  -99 1.96 4.39 6.34 7.32
1976  -99  -99  -99  -99  -99   -99  -99  -99 1.30 3.62 7.05 8.64
1977  -99  -99  -99  -99  -99   -99  -99 2.91 1.46 4.43 7.51 7.10
1978  -99  -99  -99  -99  -99 -0.11  -99 2.57 0.91 4.16 6.18 7.15
1979  -99  -99  -99  -99  -99   -99  -99  -99 1.28 4.19 7.20 7.90
1980 2.61 1.04 1.86 2.48 1.30   -99  -99  -99 2.36 4.38 7.07 7.64
