# AZMP_CIL_ICE_NAO.dat   2020-03-27 10:44
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Fred Cyr
#
# Cold Intermediate Layer (CIL) temperature minimum areaa or volumes
# Sea ice volumes
# NAO index, Roger's Dec-Jan-Feb index
#
# col  1: Year
# col  2: CIL, Seal Island 0C Area (km^2)
# col  3: CIL, White Bay 0C Area (km^2)
# col  4: CIL, Bonavista 0C Area (km^2)
# col  5: CIL, Flemish Cap 0C Area (km^2)
# col  6: sGSL, Sep. T<1C Btm Area (x10^3 km^2)
# col  7: CIL, GSL Gilbert & Pettigrew 1997 T min index (degC)
# col  8: CIL, GSL Aug-Sep T<1C Volume (x10^3 km^3)
# col  9: CIL, Scotian Shelf T<4C Volume (x10^3 km^3)
# col 10: Sea Ice, Labrador + Nfld, DJFMAMJ avg (km^3)
# col 11: Sea Ice, GSL + SS, JFM avg (km^3)
# col 12: NAO winter (Dec-Jan-Feb-Mar) EOF index (SD relative to 1981-2010)
#          https://www.ncdc.noaa.gov/teleconnections/nao/data.csv
# Missing value parameter: -99
#
#Yr    SI   WB Bona   FC sGSL  GP97  GSLv   SSv IceNL IceGSL  NAO
1946  -99  -99  -99  -99  -99 -0.29   -99   -99   -99  -99    -99
1947  -99  -99  -99  -99  -99 -0.49   -99   -99   -99  -99    -99
1948  -99  -99  -99  -99  -99  0.29   -99   -99   -99  -99    -99
1949  -99  -99  -99  -99  -99  0.28   -99   -99   -99  -99    -99
1950  8.5 12.2 27.5 14.5  -99 -0.26   -99   -99   -99  -99 -99.00
1951  7.3 19.4 19.1 11.1  -99  0.25   -99   -99   -99  -99  -0.32
1952 20.4 25.8 25.9  3.9  -99  0.38   -99   -99   -99  -99  -0.02
1953 15.1 16.0 23.0  2.9  -99  0.37   -99   -99   -99  -99  -0.16
1954 23.6 26.1 29.3 17.4  -99  0.08   -99   -99   -99  -99  -0.05
1955 13.9  2.7 21.5 16.9  -99  0.07   -99   -99   -99  -99  -0.70
1956 26.1 28.4 16.5 20.2  -99 -0.12   -99   -99   -99  -99  -0.31
1957 17.9 29.3 14.9 12.7  -99 -0.23   -99   -99   -99  -99   0.00
1958 25.2 14.7 13.4 19.1  -99  0.68   -99   -99   -99  -99  -0.86
1959 22.1 16.1 20.0 11.1  -99 -0.30   -99   -99   -99  -99  -0.26
1960  5.1 21.7 23.4 15.3  -99  0.31   -99   -99   -99  -99  -0.81
1961  8.9 13.4 19.5 13.6  -99 -0.37   -99   -99   -99  -99   0.37
1962  5.5 16.7 15.5 16.1  -99  0.03   -99   -99   -99  -99  -0.70
1963 10.3  7.3 16.8  6.6  -99 -0.16   -99   -99   -99  -99  -1.21
1964  7.2 13.8 22.2 20.9 30.7  0.71   -99   -99   -99  -99  -1.38
1965  1.5 18.0  3.2  1.8 34.0  1.19   -99   -99   -99  -99  -0.83
1966  0.3  0.0  2.0  0.1 33.2  1.35   -99   -99   -99  -99  -0.30
1967  3.2 21.6  8.4 14.3 30.8  0.27   -99   -99   -99  -99   0.38
1968 19.4 14.6  1.7  2.8 32.9  1.45   -99   -99   -99  -99  -0.30
1969 25.3 33.7 23.4 31.4 18.7  0.50   -99   -99  11.5  7.2  -1.33
1970 16.6 28.1 15.3 15.9 18.2  0.73   -99   -99  28.9 18.0  -0.53
1971 19.0 38.5 10.2 13.3 30.1  0.31   -99   -99  21.6 39.7  -0.73
1972 16.2 14.7  1.4 56.8 30.4 -0.16   -99  4.86  40.5 59.2   0.48
1973 14.9 52.2 38.0 33.5 29.2 -0.26   -99  5.01  43.8 66.2   0.35
1974  9.1 24.4 16.4 14.1 27.3 -0.51  9.83  4.86  33.5 53.9   0.37
1975 26.9 18.9 22.7 18.0 31.6 -0.45   -99  4.78  27.3 53.2   0.21
1976 21.0 43.3 23.5 16.0 33.2 -0.49   -99  4.66  28.2 45.3   0.36
1977 23.2 35.8 17.8  1.6 17.2 -0.20   -99  4.55  27.1 69.3  -0.98
1978 14.8 18.9 13.4 12.3 36.3 -0.33   -99  4.35  20.0 44.2  -0.46
1979 24.8 38.1 20.1 13.3 31.9  0.60   -99  4.03  24.7 53.2  -0.71
1980 19.8 35.1 13.2 13.5 22.8  1.43   -99  4.38  27.2 28.0  -0.00
1981 13.4 33.9 17.7 17.5 31.0  0.36   -99  4.14  20.6 24.8   0.22
1982 21.8  -99  -99 18.1 15.7  0.15   -99  4.05  26.7 37.8   0.35
1983 16.1 47.3 36.9 29.3 25.2  0.27   -99  4.35  51.2 23.2   0.95
1984 27.6 53.4 46.5 21.8 38.5 -0.33   -99  4.33  57.2 37.5   0.57
1985 22.5 50.4 34.5 20.1 33.7 -0.26  9.05  4.47  37.8 43.7  -0.47
1986 18.9 36.0 19.5 12.9 29.0 -0.88  9.63  4.57  19.0 42.0   0.51
1987 20.0 30.3 17.6  8.2 31.9 -0.73 10.89  5.09  29.6 42.7  -0.19
1988 20.9 42.5 29.3 10.1 29.1 -0.46  8.55   -99  26.9 42.3   0.48
