# AZMP_SST_Seasonal.dat   2020-03-21 11:43
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
#
# Sea-surface temperatures averaged over NAFO areas (cut-off at the shelf
# break) and the GSL.
#
# col  1: Year
# col  2: 2G, June-Sep
# col  3: 2H, June-Oct
# col  4: 2J, June-Oct
# col  5: 3K, May-Oct
# col  6: 3L, May-Oct
# col  7: 3M, May-Oct
# col  8: 3N, Mar-Oct
# col  9: 3O, Apr-Oct
# col 10: 3P, Mar-Nov
# col 11: GSL, May-Nov (excluding estuary)
# col 12: Estuary, May-Nov
# col 13: 4Vn, Mar-Nov
# col 14: 4Vs, Mar-Nov
# col 15: 4W, Jan-Dec
# col 16: 4X SS, Jan-Dec
# col 17: 4X eGoM+BoF, Jan-Dec
#
# Missing value parameter: -99
#
#Yr     2G    2H    2J    3K    3L    3M    3N    3O     3P  GSL   Est   4Vn   4Vs    4W  4XSS eGoM+BoF
1982 1.39 2.77 3.85 5.21 7.33   -99   -99  9.62  7.22  8.32   -99  7.69  8.16   -99  7.35 7.16
1983 0.67 2.30 3.49 5.16 8.31   -99   -99 11.74  8.40  9.35   -99  8.53  9.52  8.76  8.98 7.73
1984 0.93 2.21 3.67 5.56 8.64 10.08 11.24 11.23   -99  9.13   -99   -99   -99  8.66  8.17 7.86
1985 1.92 3.02 4.01 5.23 6.93   -99  9.12  9.28   -99  8.92  6.50   -99  7.76  7.33  7.24 7.56
1986 2.08 3.07 4.29 5.89 7.59  9.49  9.49  9.87  7.41  8.44  5.93  7.61  8.14  7.46  7.56 7.76
1987 1.72 3.05 4.13 5.78 8.16  9.81  9.80 10.29  8.03  9.28  6.22  8.18  8.92  8.08  7.60 7.09
1988 1.40 2.96 4.30 6.12 8.67 10.53 11.33 11.06  8.07  8.97  6.51  7.65  8.73  7.73  7.06 7.19
1989 1.56 2.30 3.30 5.41 8.08  9.72 10.52 10.77  7.38  8.63  5.62  7.49  8.68  7.98  7.49 7.21
1990 1.51 2.90 3.44 5.08 7.51   -99  9.64 10.01  7.25  8.58  6.03  7.53  8.07  7.50  7.60 7.33
1991 1.74 2.54 3.18 4.25 6.34  8.24  8.85  8.95  6.94  8.79  6.14  7.37  8.22  7.85  7.45 7.26
1992 0.48 2.00 3.03 4.61 6.50  8.62  8.65  9.33  7.01  8.29  5.82  6.98  8.28  7.71  7.09 6.52
1993 2.07 3.61 4.54 5.18 7.05   -99  9.37  9.97  7.95  9.08  7.25  7.87  9.04  8.67  8.12 7.62
1994 1.89 3.71 5.08 6.49 8.83  9.99 11.64 11.73  8.58  9.82  7.53  8.75  9.70  9.20  8.58 8.92
1995 1.78 3.45 4.51 5.70 7.43  9.27  8.95  9.60  7.88  9.99  7.14  8.33  9.06  8.59  8.49 8.10
1996 1.78 3.29 3.70 5.58 7.91 10.24 10.20 10.77  8.06  9.82  7.15  8.24  8.79  8.23  7.87 7.62
1997 1.75 3.33 4.47 5.86 7.62 10.13  9.75  9.59  7.37  9.23  6.73  7.49  8.32  7.92  7.77 7.95
1998 2.42 4.20 5.36 6.88 8.98 11.01 11.35 11.24  8.69  9.83  7.09  8.76  9.73  8.56  8.03 7.66
1999 2.04 3.70 4.63 6.51 9.16 11.04 11.61 12.16  9.22 10.38  7.28  9.13 10.36  9.56  8.84 8.80
2000 2.33 4.03 5.63 6.74 8.94 10.73 11.43 11.95  8.78  9.69  7.01  8.57  9.93  9.19  8.80 8.69
2001 2.12 3.60 4.70 6.26 8.27 10.51 10.70 10.51  8.19 10.10  7.18  8.68  9.31  8.70  8.19 7.84
2002 1.63 3.13 3.85 5.58 7.85  9.74 10.23 10.49  7.42  8.95  7.00  7.63  8.73  8.38  8.43 8.49
2003 2.71 4.69 5.54 6.51 8.50 10.28 10.68 10.80  8.22  9.53  6.82  8.42  9.39  8.48  7.78 7.63
2004 2.53 4.23 5.40 6.51 8.25 10.00 10.60 10.61  7.88  9.36  6.66  7.86  8.74  8.09  7.91 7.22
2005 2.40 4.13 5.29 7.16 8.66 10.76 10.44 10.78  8.50  9.86  6.94  8.44  9.70  8.88  8.25 7.60
2006 2.36 4.18 5.87 7.72 9.39 11.02 12.08 11.61  8.67 10.68  7.59  8.92  9.61  9.13  8.68 8.54
2007 2.00 3.52 4.46 5.85 8.21 10.41 10.66 10.65  7.72  9.38  6.88  7.95  8.85  8.10  7.67 7.62
2008 2.96 4.73 6.21 7.44 8.62 10.28 10.70 10.49  7.90 10.13  7.56  8.24  8.74  8.23  8.16 7.93
2009 2.20 3.38 4.53 5.63 7.71  8.92 10.38 11.05  8.03  9.49  6.83  8.20  9.07  8.42  8.23 8.14
2010 2.79 4.37 5.09 6.25 7.85  9.95 10.10  9.99  8.16  9.95  7.43  8.58  9.53  8.95  8.66 8.42
2011 2.13 3.79 4.79 6.12 7.87 10.06 11.15 10.88  7.75  9.48  7.51  7.95  8.82  8.60  8.53 8.37
2012 2.49 4.51 6.11 7.40 9.24 11.29 11.54 12.02  9.42 10.67  7.90  9.39 10.47  9.87  9.77 9.56
2013 1.45 2.99 4.12 5.83 8.68 10.64 12.01 11.88  9.04  9.71  6.42  8.94 10.10  9.36  8.78 8.74
