1969 1  17 133  81 1969-01-17 1969-05-13
1969 2 -99 -99   0  
1969 3 -99 153 -99 1969-01-31 1969-06-02
1969 4 102 152  51 1969-04-12 1969-06-01
1970 1  12 127 116 1970-01-12 1970-05-07
1970 2  52 109  58 1970-02-21 1970-04-19
1970 3  18 194 177 1970-01-18 1970-07-13
1970 4  29 171 129 1970-01-29 1970-06-20
1971 1  -2 100 103 1970-12-29 1971-04-10
1971 2  32  91  57 1971-02-01 1971-04-01
1971 3 -99 169 -99 1971-01-15 1971-06-18
1971 4  16 146 131 1971-01-16 1971-05-26
1972 1  -5 142 148 1971-12-26 1972-05-21
1972 2  26 140 111 1972-01-26 1972-05-19
1972 3   0 191 192 1971-12-31 1972-07-09
1972 4  17 187 171 1972-01-17 1972-07-05
1973 1 -12 136 149 1972-12-19 1973-05-16
1973 2  16 131 116 1973-01-16 1973-05-11
1973 3 -12 161 174 1972-12-19 1973-06-10
1973 4 -12 159 172 1972-12-19 1973-06-08
1974 1   3 177 175 1974-01-03 1974-06-26
1974 2  31 117  87 1974-01-31 1974-04-27
1974 3   4 191 188 1974-01-04 1974-07-10
1974 4  10 189 180 1974-01-10 1974-07-08
1975 1   4 162 159 1975-01-04 1975-06-11
1975 2  33 131  99 1975-02-02 1975-05-11
1975 3   3 185 183 1975-01-03 1975-07-04
1975 4  24 177 154 1975-01-24 1975-06-26
1976 1  -2 126 129 1975-12-29 1976-05-05
1976 2  36 101  66 1976-02-05 1976-04-10
1976 3   3 156 154 1976-01-03 1976-06-04
1976 4  20 144 124 1976-01-20 1976-05-23
1977 1 -14 120 135 1976-12-17 1977-04-30
1977 2  11 125 115 1977-01-11 1977-05-05
1977 3 -10 163 174 1976-12-21 1977-06-12
1977 4  31 140 110 1977-01-31 1977-05-20
1978 1   1 138 138 1978-01-01 1978-05-18
1978 2  42 123  75 1978-02-11 1978-05-03
1978 3   2 187 186 1978-01-02 1978-07-06
1978 4  32 145 114 1978-02-01 1978-05-25
1979 1 -22 117 139 1978-12-09 1979-04-27
1979 2  39 104  66 1979-02-08 1979-04-14
1979 3 -26 160 187 1978-12-05 1979-06-09
1979 4  16 130 101 1979-01-16 1979-05-10
1980 1   6 112 107 1980-01-06 1980-04-21
1980 2  31 115  85 1980-01-31 1980-04-24
1980 3 -13 157 170 1979-12-18 1980-06-05
1980 4  21 132 112 1980-01-21 1980-05-11
1981 1  -8  83  92 1980-12-23 1981-03-24
1981 2  18  68  51 1981-01-18 1981-03-09
1981 3  -4 160 165 1980-12-27 1981-06-09
1981 4  20  68  49 1981-01-20 1981-03-09
1982 1  11 144 134 1982-01-11 1982-05-24
1982 2  36 111  76 1982-02-05 1982-04-21
1982 3  15 175 161 1982-01-15 1982-06-24
1982 4  37 163 102 1982-02-06 1982-06-12
1983 1   3 118 116 1983-01-03 1983-04-28
1983 2  83  96  14 1983-03-24 1983-04-06
1983 3 -15 183 199 1982-12-16 1983-07-02
