# AZMP_BottomTemp.dat   2020-03-20 10:56
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Bottom temperatures
#
# col  1: Year
# col  2: 3Ps, spring
# col  3: 3LNO, spring
# col  4: 2J, fall
# col  5: 3K, fall
# col  6: 3LNO, fall
# col  7: Mecatina Trough, >100 m, August
# col  8: nGSL, >200 m, August
# col  9: nGSL, <200 m, August
# col 10: Magdalen Shallows, September
# col 11: 4V, July
# col 12: 4W, July
# col 13: 4X, July
#
# Missing value parameter: -99
#
#Yr   3Ps 3LNO   2J   3K 3LNO  Meca  nG>  nG< MagS   4V   4W   4X
1964  -99  -99  -99  -99  -99   -99  -99  -99 4.71  -99  -99  -99
1965  -99  -99  -99  -99  -99   -99  -99  -99 4.58  -99  -99  -99
1966  -99  -99  -99  -99  -99   -99  -99  -99 4.86  -99  -99  -99
1967  -99  -99  -99  -99  -99   -99  -99  -99 4.04  -99  -99  -99
1968  -99  -99  -99  -99  -99   -99  -99  -99 5.22  -99  -99  -99
1969  -99  -99  -99  -99  -99   -99  -99 2.90 5.15  -99  -99  -99
1970  -99  -99  -99  -99  -99   -99  -99 3.20 4.37 3.98 5.62 6.33
1971  -99  -99  -99  -99  -99   -99  -99  -99 4.63 3.59 6.56 7.11
1972  -99  -99  -99  -99  -99   -99  -99 2.43 5.01 3.68 6.58 6.30
1973  -99  -99  -99  -99  -99 -1.16  -99  -99 5.39 3.12 5.98 7.84
1974  -99  -99  -99  -99  -99 -1.57 4.80 2.29 4.75 3.79 7.23 8.08
1975  -99  -99  -99  -99  -99   -99  -99  -99 5.78 4.39 6.34 7.32
1976  -99  -99  -99  -99  -99   -99  -99  -99 5.04 3.62 7.05 8.64
1977  -99  -99  -99  -99  -99   -99  -99 2.91 4.87 4.43 7.51 7.10
1978  -99  -99  -99  -99  -99  0.28  -99 2.57 4.32 4.16 6.18 7.15
1979  -99  -99  -99  -99  -99   -99  -99  -99 4.88 4.19 7.20 7.90
1980 2.61 1.04 1.86 2.48 1.30   -99  -99  -99 5.90 4.38 7.07 7.64
1981 3.90 1.88 2.19 2.45 1.08   -99  -99  -99 5.66 4.37 6.98 6.90
1982 2.14 0.68 1.40 2.33 1.64   -99  -99  -99 5.49 2.82 5.73 7.47
1983 2.43 1.33 1.46 2.18 1.19   -99  -99  -99 4.47 3.42 6.43 7.39
1984 2.47 0.57 0.79 1.86 0.92   -99  -99  -99 4.14 5.18 7.96 7.91
1985 1.98 0.27 1.03 1.43 0.62   -99  -99  -99 5.53 3.41 7.63 8.47
1986 2.19 0.39 2.16 2.37 1.14   -99  -99  -99 5.41 3.84 7.37 7.78
1987 1.15 0.82 1.20 1.95 0.80   -99  -99 2.59 4.98 2.76 5.89 6.31
1988 2.53 1.09 2.08 2.27 0.59   -99  -99 2.82 4.80 4.14 5.84 7.12
1989 1.70 0.33 1.82 2.28 1.21   -99  -99  -99 5.07 2.87 6.12 7.25
1990 1.04 -0.08 1.28 1.62 0.64   -99  -99 2.47 4.72 2.61 6.05 7.14
1991 1.46 -0.06 1.52 2.03 0.44   -99 4.83 2.07 5.34 2.58 5.80 6.66
1992 2.84 0.13 1.09 1.62 0.49   -99 4.79 2.17 3.91 3.26 6.23 7.44
1993 1.81 0.39 1.10 1.63 0.13   -99 4.97 2.37 4.83 3.35 6.74 7.06
1994 1.80 0.20 1.47 1.83 0.44 -0.72 5.40 2.09 4.64 2.96 6.78 8.14
1995 2.01 0.63 1.99 2.10 0.98 -1.37 5.14 2.19 4.67 3.22 6.65 6.78
1996 2.30 1.06 2.41 2.43 1.18  0.00 5.03 2.28 5.17 2.91 6.21 7.00
1997 1.84 0.60 2.27 2.77 1.11 -1.72 5.34 2.56 4.49 3.44 6.28 7.42
1998 2.28 1.40 2.26 2.70 1.50  0.71  -99 2.45 4.72 3.43 4.98 5.23
1999 2.83 1.80 2.45 2.87 2.03  0.96 5.21 3.55 5.54 3.97 6.74 7.91
2000 2.95 1.43 2.03 2.71 0.98  1.64 5.29 3.44 5.40 4.19 7.46 8.27
