# AZMP_BottomTemp.dat   2020-03-20 10:56
# Normalized anomalies using 1981-2010 reference period.
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Bottom temperatures
#
# col  1: Year
# col  2: 3Ps, spring
# col  3: 3LNO, spring
# col  4: 2J, fall
# col  5: 3K, fall
# col  6: 3LNO, fall
# col  7: Mecatina Trough, >100 m, August
# col  8: nGSL, >200 m, August
# col  9: nGSL, <200 m, August
# col 10: Magdalen Shallows, September
# col 11: 4V, July
# col 12: 4W, July
# col 13: 4X, July
#
# Missing value parameter: -99
#
#Yr   3Ps 3LNO   2J   3K 3LNO  Meca  nG>  nG< MagS   4V   4W   4X
1964   -99   -99   -99   -99   -99   -99   -99   -99 -0.81   -99   -99   -99
1965   -99   -99   -99   -99   -99   -99   -99   -99 -1.08   -99   -99   -99
1966   -99   -99   -99   -99   -99   -99   -99   -99 -0.50   -99   -99   -99
1967   -99   -99   -99   -99   -99   -99   -99   -99 -2.19   -99   -99   -99
1968   -99   -99   -99   -99   -99   -99   -99   -99  0.24   -99   -99   -99
1969   -99   -99   -99   -99   -99   -99   -99  0.52  0.09   -99   -99   -99
1970   -99   -99   -99   -99   -99   -99   -99  1.22 -1.51  0.85 -0.99 -1.24
1971   -99   -99   -99   -99   -99   -99   -99   -99 -0.98  0.21  0.24 -0.17
1972   -99   -99   -99   -99   -99   -99   -99 -0.59 -0.20  0.36  0.27 -1.28
1973   -99   -99   -99   -99   -99 -1.21   -99   -99  0.59 -0.56 -0.52  0.83
1974   -99   -99   -99   -99   -99 -1.64 -2.11 -0.91 -0.73  0.54  1.12  1.16
1975   -99   -99   -99   -99   -99   -99   -99   -99  1.39  1.53 -0.05  0.12
1976   -99   -99   -99   -99   -99   -99   -99   -99 -0.13  0.26  0.88  1.93
1977   -99   -99   -99   -99   -99   -99   -99  0.54 -0.48  1.59  1.48 -0.18
1978   -99   -99   -99   -99   -99  0.28   -99 -0.26 -1.62  1.15 -0.26 -0.12
1979   -99   -99   -99   -99   -99   -99   -99   -99 -0.46  1.20  1.08  0.91
1980  0.67  0.22 -0.22  0.16  0.53   -99   -99   -99  1.64  1.51  0.91  0.56
1981  2.86  1.70  0.31  0.10  0.02   -99   -99   -99  1.14  1.50  0.79 -0.46
1982 -0.13 -0.41 -0.94 -0.15  1.32   -99   -99   -99  0.79 -1.06 -0.85  0.32
1983  0.37  0.73 -0.85 -0.45  0.28   -99   -99   -99 -1.31 -0.07  0.07  0.21
1984  0.43 -0.60 -1.91 -1.10 -0.34   -99   -99   -99 -1.99  2.83  2.07  0.93
1985 -0.40 -1.13 -1.53 -1.97 -1.04   -99   -99   -99  0.88 -0.08  1.64  1.69
1986 -0.04 -0.92  0.26 -0.07  0.16   -99   -99   -99  0.63  0.62  1.30  0.75
1987 -1.81 -0.16 -1.26 -0.92 -0.62   -99   -99 -0.21 -0.26 -1.15 -0.64 -1.27
1988  0.54  0.31  0.13 -0.27 -1.11   -99   -99  0.33 -0.63  1.12 -0.70 -0.16
1989 -0.87 -1.02 -0.28 -0.25  0.32   -99   -99   -99 -0.07 -0.97 -0.34  0.02
1990 -1.99 -1.74 -1.13 -1.58 -0.99   -99   -99 -0.49 -0.79 -1.40 -0.43 -0.13
1991 -1.28 -1.70 -0.75 -0.75 -1.45   -99 -1.95 -1.43  0.48 -1.45 -0.76 -0.79
1992  1.06 -1.37 -1.43 -1.58 -1.34   -99 -2.16 -1.20 -2.46 -0.33 -0.19  0.28
1993 -0.69 -0.92 -1.42 -1.56 -2.17   -99 -1.24 -0.73 -0.57 -0.18  0.48 -0.24
1994 -0.70 -1.25 -0.83 -1.16 -1.45 -0.76  0.96 -1.38 -0.96 -0.82  0.53  1.24
1995 -0.35 -0.50 -0.01 -0.61 -0.21 -1.43 -0.37 -1.15 -0.90 -0.40  0.36 -0.62
1996  0.15  0.26  0.65  0.06  0.26 -0.01 -0.93 -0.94  0.13 -0.91 -0.22 -0.32
1997 -0.64 -0.55  0.43  0.74  0.09 -1.79  0.65 -0.28 -1.27 -0.04 -0.13  0.26
1998  0.11  0.85  0.42  0.60  0.99  0.72   -99 -0.54 -0.79 -0.05 -1.83 -2.75
1999  1.05  1.56  0.72  0.95  2.22  0.98 -0.01  2.05  0.90  0.84  0.48  0.93
2000  1.25  0.91  0.05  0.62 -0.21  1.69  0.40  1.79  0.61  1.20  1.42  1.42
2001 -0.55  0.40  0.86  0.26  0.26 -0.09  0.60 -0.04  0.13 -0.04 -0.70 -1.17
2002 -0.04  0.15  0.59  0.78  0.16  0.64  1.06  0.31  1.31  0.56  0.49  1.21
2003 -1.18 -0.71  1.02  1.03 -0.07 -0.73  1.11 -0.70  0.28 -1.20 -0.76  0.30
2004  0.16  1.59  1.26  1.55  1.22  0.15  0.91  0.07  0.18 -1.14 -2.13 -1.62
2005  0.88  0.87  1.40  1.11  0.51  0.70  0.45  0.42  0.03  0.67  0.03  0.06
2006  0.91  0.87  0.07  0.40  0.86  0.14  0.71  1.55  0.88  1.22  1.33  1.26
2007 -0.75  0.52  1.49  1.17  0.12 -0.02  0.81 -0.12  1.10 -0.36 -0.99 -1.35
2008  0.16  0.50  0.35  0.93 -0.37 -1.52 -0.01  0.89 -0.13  0.03 -1.31 -0.49
