# AZMP_CIL_ICE_NAO.dat   2020-03-20 11:00
# Normalized anomalies using 1981-2010 reference period.
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Cold Intermediate Layer (CIL) temperature minimum areaa or volumes
# Sea ice volumes
# NAO index, Roger's Dec-Jan-Feb index
#
# col  1: Year
# col  2: CIL, Seal Island 0C Area (km^2)
# col  3: CIL, White Bay 0C Area (km^2)
# col  4: CIL, Bonavista 0C Area (km^2)
# col  5: CIL, Flemish Cap 0C Area (km^2)
# col  6: sGSL, Sep. T<1C Btm Area (x10^3 km^2)
# col  7: CIL, GSL Gilbert & Pettigrew 1997 T min index (degC)
# col  8: CIL, GSL Aug-Sep T<1C Volume (x10^3 km^3)
# col  9: CIL, Scotian Shelf T<4C Volume (x10^3 km^3)
# col 10: Sea Ice, Labrador + Nfld, DJFMAMJ avg (km^3)
# col 11: Sea Ice, GSL + SS, JFM avg (km^3)
# col 12: NAO winter (Dec-Jan-Feb) index (SD relative to 1981-2010)
#
# Missing value parameter: -99
#
#Yr    SI   WB Bona   FC sGSL  GP97  GSLv   SSv IceNL IceGSL  NAO
1946   -99   -99   -99   -99   -99  0.31   -99   -99   -99   -99   -99
1947   -99   -99   -99   -99   -99 -0.20   -99   -99   -99   -99   -99
1948   -99   -99   -99   -99   -99  1.80   -99   -99   -99   -99   -99
1949   -99   -99   -99   -99   -99  1.78   -99   -99   -99   -99   -99
1950 -2.61 -1.91  0.37 -0.13   -99  0.39   -99   -99   -99   -99   -99
1951 -2.88 -1.34 -0.55 -0.56   -99  1.70   -99   -99   -99   -99 -0.63
1952  0.01 -0.84  0.20 -1.49   -99  2.03   -99   -99   -99   -99  0.20
1953 -1.16 -1.61 -0.12 -1.61   -99  2.01   -99   -99   -99   -99 -0.81
1954  0.72 -0.82  0.57  0.24   -99  1.26   -99   -99   -99   -99 -0.19
1955 -1.42 -2.65 -0.28  0.18   -99  1.24   -99   -99   -99   -99 -1.66
1956  1.27 -0.64 -0.83  0.60   -99  0.75   -99   -99   -99   -99 -1.10
1957 -0.54 -0.57 -1.01 -0.36   -99  0.47   -99   -99   -99   -99  0.13
1958  1.07 -1.71 -1.17  0.46   -99  2.81   -99   -99   -99   -99 -1.25
1959  0.39 -1.60 -0.45 -0.56   -99  0.29   -99   -99   -99   -99 -0.96
1960 -3.36 -1.16 -0.07 -0.02   -99  1.86   -99   -99   -99   -99 -1.88
1961 -2.52 -1.81 -0.50 -0.24   -99  0.11   -99   -99   -99   -99 -0.04
1962 -3.28 -1.55 -0.94  0.08   -99  1.14   -99   -99   -99   -99 -0.67
1963 -2.22 -2.29 -0.80 -1.14   -99  0.65   -99   -99   -99   -99 -2.73
1964 -2.90 -1.78 -0.21  0.69  0.16  2.88   -99   -99   -99   -99 -2.67
1965 -4.16 -1.45 -2.29 -1.76  0.85  4.12   -99   -99   -99   -99 -1.43
1966 -4.42 -2.86 -2.42 -1.97  0.68  4.53   -99   -99   -99   -99 -1.40
1967 -3.78 -1.17 -1.72 -0.15  0.18  1.75   -99   -99   -99   -99 -0.49
1968 -0.21 -1.72 -2.45 -1.63  0.62  4.78   -99   -99   -99   -99 -1.32
1969  1.10 -0.23 -0.07  2.04 -2.36  2.34   -99   -99 -1.70 -1.83 -2.41
1970 -0.82 -0.66 -0.96  0.05 -2.46  2.93   -99   -99 -0.26 -1.18 -1.08
1971 -0.30  0.15 -1.52 -0.28  0.03  1.86   -99   -99 -0.86  0.12 -1.56
1972 -0.91 -1.71 -2.48  5.30  0.09  0.65   -99 -0.57  0.70  1.30  0.10
1973 -1.20  1.22  1.53  2.31 -0.16  0.39   -99 -0.44  0.97  1.72  0.03
1974 -2.48 -0.95 -0.84 -0.18 -0.56 -0.25  0.17 -0.57  0.12  0.98  0.26
1975  1.45 -1.38 -0.15  0.32  0.34 -0.10   -99 -0.64 -0.39  0.94  0.23
1976  0.15  0.53 -0.06  0.07  0.68 -0.20   -99 -0.74 -0.32  0.46 -0.16
1977  0.63 -0.06 -0.69 -1.78 -2.67  0.54   -99 -0.84 -0.41  1.91 -2.08
1978 -1.22 -1.38 -1.17 -0.41  1.33  0.21   -99 -1.01 -0.99  0.39 -1.79
1979  0.99  0.12 -0.44 -0.28  0.41  2.60   -99 -1.29 -0.61  0.94 -2.33
1980 -0.12 -0.12 -1.19 -0.26 -1.50  4.73   -99 -0.99 -0.40 -0.58 -0.36
1981 -1.53 -0.21 -0.70  0.26  0.22  1.98   -99 -1.20 -0.94 -0.77  0.53
1982  0.32 -2.86 -2.57  0.33 -2.99  1.44   -99 -1.28 -0.44  0.01 -0.39
1983 -0.94  0.84  1.40  1.77 -1.00  1.75   -99 -1.01  1.58 -0.87  0.92
1984  1.60  1.31  2.46  0.81  1.79  0.21   -99 -1.03  2.07 -0.01  0.83
1985  0.48  1.08  1.14  0.59  0.78  0.39 -0.25 -0.91  0.47  0.36 -1.56
1986 -0.32 -0.05 -0.50 -0.33 -0.20 -1.20  0.06 -0.82 -1.08  0.26 -0.34
1987 -0.07 -0.49 -0.71 -0.93  0.41 -0.82  0.74 -0.37 -0.20  0.30 -0.96
1988  0.12  0.46  0.57 -0.69 -0.18 -0.12 -0.52   -99 -0.42  0.28  0.55
1989 -3.19  0.97  0.30  0.40  0.91 -0.59  0.34   -99 -0.65  0.39  1.39
1990  1.45  1.83  1.54  1.36  0.16 -1.20  0.25  0.29  0.85  1.50  0.14
1991  1.60  1.27  1.62  1.01  0.18 -1.23  1.75  0.83  1.79  0.70  0.56
1992  0.96  0.78  0.48 -0.59  1.54 -1.07  1.49  0.64  0.82  0.88  0.20
1993  1.29  1.00  0.63  0.64  0.20 -0.87  0.74  0.52  1.69  1.96  0.79
1994 -0.07  1.04  0.44  1.42  0.89 -1.18  0.53  0.23  1.89  2.09  1.03
1995 -0.34 -0.65 -0.26 -0.63  1.20 -1.00  1.24  0.31  0.32  0.89  1.54
1996  0.21  0.27  0.00 -1.50  0.37 -0.61  0.74  0.40 -0.62  0.13 -1.44
1997 -0.63 -0.39 -0.45 -0.82  0.18 -0.25  0.10  0.69 -0.27  0.15 -0.61
1998  0.04 -0.72  0.18  0.01  1.39 -0.92  0.45  1.49  0.03 -1.06 -0.86
1999 -1.35 -0.77 -0.49 -0.26 -0.62  0.54 -1.32 -0.46 -0.37 -0.61  0.46
2000 -0.21  0.53  0.43  0.39 -0.62  1.32 -2.04 -1.79 -0.33 -1.24  1.45
2001  0.76 -0.15 -0.51 -1.83  0.11  0.47  0.11  1.26 -0.63 -0.75 -0.45
2002 -0.10 -0.81 -0.44  0.82 -0.66  0.54 -0.85 -0.26 -0.69 -0.83 -0.15
2003  0.65 -0.45 -0.05 -0.55  0.24 -1.05  1.02  1.16  0.23  1.44 -0.58
2004 -0.96 -0.83 -1.26 -1.60  0.13  0.34 -0.24  2.15 -0.98 -0.33 -0.40
2005  0.01 -0.87 -0.82  0.23 -0.75  0.85 -0.94 -0.50 -0.85 -0.01  0.83
2006 -0.16 -1.38 -0.96 -0.09 -0.79  1.60 -2.13 -1.31 -1.36 -1.67 -0.34
2007 -0.14 -0.79 -0.52  1.87 -0.77  0.47 -0.04  1.13 -0.20 -1.14  0.03
2008 -0.27 -0.13 -0.87 -0.19  0.53 -0.74  0.61  0.93 -0.46 -0.20  0.47
2009  0.90  0.86  0.28 -0.09 -0.87 -0.02 -0.52 -0.49  0.32  0.13 -0.63
2010 -0.14 -0.71 -0.35 -1.83 -1.79  0.96 -1.32 -0.59 -1.57 -1.98 -3.03
2011 -0.87 -2.33 -1.93 -1.15 -1.23  1.50 -2.30 -0.58 -1.82 -1.90 -1.53
2012  1.58 -0.40 -0.29  0.68 -2.65  2.14 -3.24 -2.29 -0.83 -1.70  1.56
2013 -0.74 -0.37 -0.61 -0.64 -0.58  1.29 -2.15 -0.41 -1.01 -1.32 -0.48
2014  0.12  0.50  1.36 -0.47  0.34 -0.20 -0.44 -1.93  0.49  1.22  0.79
2015  1.47  0.32  0.82  1.10 -0.39  0.34 -1.49 -1.25 -0.01  0.23  2.00
2016 -0.54  0.30  0.44  0.95 -0.89  0.80 -1.89 -1.10  0.20 -1.82  1.47
2017  1.32  0.29  0.34 -1.02 -0.10  0.29 -0.59 -0.78  0.09 -1.56  0.47
2018 -1.60 -1.08 -0.44  0.13 -1.29  0.93 -1.66   -99 -0.60 -1.18  1.45
2019 -0.14 -1.01 -0.92 -0.36 -1.16 -0.10 -0.23 -0.36 -0.82 -0.32  0.25
