# AZMP_SST_Monthly.dat   2020-03-21 11:43
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
#
# SST averaged monthly over AE regions.
#
# col  1: Year
# col  2: Month
#
# col  3: SST in NAFO 2G
# col  4: SST in NAFO 2H
# col  5: SST in NAFO 2J
# col  6: SST in NAFO 3K 
# col  7: SST in NAFO 3L
# col  8: SST in NAFO 3M
# col  9: SST in NAFO 3N
# col 10: SST in NAFO 3O
# col 11: SST in NAFO 3P
# col 12: SST in GSL
# col 13: SST in Estuary
# col 14: SST in NAFO 4Vn
# col 15: SST in NAFO 4Vs
# col 17: SST in NAFO 4W
# col 18: SST in NAFO 4X SS
# col 19: SST in NAFO 4X eGdM+BdF
# col 20: SST standardized anomaly in NAFO 2G
# col 21: SST standardized anomaly in NAFO 2H
# col 22: SST standardized anomaly in NAFO 2J
# col 23: SST standardized anomaly in NAFO 3K
# col 24: SST standardized anomaly in NAFO 3L 
# col 25: SST standardized anomaly in NAFO 3M 
# col 26: SST standardized anomaly in NAFO 3N
# col 27: SST standardized anomaly in NAFO 3O
# col 28: SST standardized anomaly in NAFO 3P
# col 29: SST standardized anomaly in GSL
# col 30: SST standardized anomaly in Estuary
# col 31: SST standardized anomaly in NAFO 4Vn
# col 32: SST standardized anomaly in NAFO 4Vs
# col 33: SST standardized anomaly in NAFO 4W
# col 34: SST standardized anomaly in NAFO 4X SS
# col 35: SST standardized anomaly in NAFO 4X eGdM+BdF
#
# Missing value parameter: -99
#Yr  Mn    2G    2H    2J    3K    3L    3M    3N    3O    3P   GSL   Est   4Vn   4Vs    4W  4XSS 4XeGdM   2J    3K    3L    3M    3N    3O    3P   GSL   Est   4Vn   4Vs    4W  4XSS 4XeGdM
1981 08   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 17.63   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.35   -99   -99
1981 09  2.85  4.35  5.42  7.99 11.78 13.37 13.97 14.72 14.20 12.99  7.24 14.95 15.49 16.57 16.28 13.50  0.09 -0.52  0.34  0.78  0.64 -0.70  0.06  0.40 -0.28  0.20 -0.28 -0.17  0.49  0.39
1981 10   -99   -99  3.44  4.77  8.07 10.14 11.65 12.70 11.49  7.91   -99 10.44 12.61 13.10 13.03 11.44  0.84 -0.24 -0.09 -0.18  1.53  0.29  0.82 -0.41   -99 -0.32  0.39 -0.42 -0.23 -0.22
1981 11   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  9.54   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.20
1981 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
1982 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.62   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.39   -99
1982 03   -99   -99   -99   -99  0.60   -99   -99   -99  0.35 -0.79  0.08 -0.13  0.48  1.19  0.65  2.43   -99   -99  0.28   -99   -99   -99  0.06  0.24  0.57  0.40 -0.11 -0.11 -0.26  0.12
1982 04   -99   -99   -99 -0.65  0.18  3.54  1.09  1.17  0.22 -0.16  0.65 -0.11  0.37  1.11  1.31  2.98   -99 -0.30 -0.37 -0.36 -0.70 -1.25 -0.70 -0.14 -0.58 -0.32 -0.93 -1.04 -0.64 -0.27
1982 05   -99   -99   -99  1.23  2.16   -99   -99  4.42  2.88  2.10  2.84  2.51  2.81  3.95  4.74  5.21   -99  0.45  0.46   -99   -99 -0.18 -0.23 -0.99 -1.64 -0.18 -0.87 -0.86 -0.15 -0.35
1982 06  0.01  0.63  1.13  2.00  3.20  5.40   -99  6.67  6.20  7.60   -99  7.44  6.15  6.70  7.12  7.35 -0.75 -1.33 -1.51 -2.11   -99 -1.63 -0.91 -0.74   -99 -0.18 -1.83 -2.46 -2.25 -1.31
1982 07  1.38  3.98  4.36  5.83  9.23 11.37 12.40 12.78 11.19 12.09   -99 13.07 12.23 13.57 12.80 10.74 -0.94 -1.84 -0.50  0.09 -0.59 -1.18 -1.37 -1.52   -99 -0.78 -1.75 -1.38 -1.44 -1.50
1982 08   -99  4.92  7.09  9.61 11.55 12.24 14.18 15.50 14.73 13.79   -99 15.87 16.44 16.73 13.94 12.13 -0.29 -0.78 -1.10 -0.77 -1.21 -1.36 -1.21 -1.63   -99 -1.35 -1.05 -1.25 -2.47 -1.56
1982 09  1.56  3.18  4.85  8.45   -99   -99 13.68 15.41   -99 11.15   -99 14.00 15.66 16.22 14.46 12.19 -0.48 -0.06   -99   -99  0.35 -0.01   -99 -1.44   -99 -0.75 -0.11 -0.52 -1.33 -0.92
1982 10   -99   -99   -99   -99  7.18   -99   -99   -99  9.94  8.29  5.12 10.56 12.20 13.61 13.45 11.58   -99   -99 -0.98   -99   -99   -99 -0.73 -0.03  0.69 -0.20 -0.02  0.09  0.19 -0.08
