# AZMP_SST_Seasonal.dat   2020-03-19 11:44
# Normalized anomalies using 1981-2010 reference period.
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
#
# Sea-surface temperatures averaged over NAFO areas (cut-off at the shelf
# break) and the GSL.
#
# col  1: Year
# col  2: 2G, June-Sep
# col  3: 2H, June-Oct
# col  4: 2J, June-Oct
# col  5: 3K, May-Oct
# col  6: 3L, May-Oct
# col  7: 3M, May-Oct
# col  8: 3N, Mar-Oct
# col  9: 3O, Apr-Oct
# col 10: 3P, Mar-Nov
# col 11: GSL, May-Nov (excluding estuary)
# col 12: Estuary, May-Nov
# col 13: 4Vn, Mar-Nov
# col 14: 4Vs, Mar-Nov
# col 15: 4W, Jan-Dec
# col 16: 4X SS, Jan-Dec
# col 17: 4X eGoM+BoF, Jan-Dec
#
# Missing value parameter: -99
#
#Yr     2G    2H    2J    3K    3L    3M    3N    3O     3P  GSL   Est   4Vn   4Vs    4W  4XSS eGoM+BoF
1982 -0.88 -0.84 -0.73 -0.90 -0.93   -99   -99 -1.11 -1.28 -1.69   -99 -0.78 -1.25   -99 -1.20 -1.08
1983 -2.11 -1.48 -1.15 -0.96  0.35   -99   -99  1.40  0.76 -0.05   -99  0.76  0.86  0.68  1.81 -0.08
1984 -1.66 -1.60 -0.94 -0.46  0.78  0.07  0.96  0.80   -99 -0.40   -99   -99   -99  0.51  0.31  0.15
1985  0.03 -0.50 -0.54 -0.87 -1.45   -99 -1.33 -1.51   -99 -0.73 -0.54   -99 -1.87 -1.81 -1.41 -0.38
1986  0.30 -0.44 -0.21 -0.06 -0.59 -0.74 -0.93 -0.81 -0.95 -1.50 -1.56 -0.93 -1.28 -1.58 -0.82 -0.03
1987 -0.31 -0.46 -0.40 -0.19  0.15 -0.30 -0.60 -0.32  0.12 -0.16 -1.04  0.12 -0.07 -0.50 -0.74 -1.20
1988 -0.86 -0.58 -0.20  0.23  0.81  0.68  1.06  0.60  0.19 -0.65 -0.52 -0.85 -0.37 -1.11 -1.74 -1.03
1989 -0.59 -1.48 -1.38 -0.65  0.05 -0.43  0.18  0.25 -1.00 -1.20 -2.11 -1.15 -0.44 -0.68 -0.95 -0.99
1990 -0.67 -0.67 -1.21 -1.06 -0.70   -99 -0.77 -0.65 -1.23 -1.28 -1.38 -1.07 -1.39 -1.51 -0.74 -0.78
1991 -0.28 -1.15 -1.52 -2.08 -2.22 -2.45 -1.62 -1.90 -1.76 -0.94 -1.18 -1.37 -1.16 -0.90 -1.02 -0.90
1992 -2.44 -1.88 -1.69 -1.64 -2.01 -1.93 -1.84 -1.45 -1.64 -1.74 -1.76 -2.08 -1.06 -1.15 -1.68 -2.21
1993  0.29  0.29  0.09 -0.93 -1.30   -99 -1.06 -0.69 -0.02 -0.48  0.80 -0.45  0.11  0.52  0.22 -0.27
1994 -0.02  0.43  0.72  0.68  1.02 -0.06  1.39  1.39  1.07  0.71  1.30  1.17  1.13  1.45  1.07  2.01
1995 -0.21  0.08  0.05 -0.29 -0.80 -1.04 -1.51 -1.13 -0.14  0.98  0.61  0.40  0.14  0.38  0.90  0.57
1996 -0.21 -0.14 -0.90 -0.44 -0.18  0.28 -0.16  0.25  0.17  0.71  0.62  0.23 -0.27 -0.24 -0.24 -0.27
1997 -0.26 -0.09  0.00 -0.09 -0.55  0.13 -0.65 -1.14 -1.02 -0.24 -0.13 -1.15 -1.00 -0.78 -0.43  0.31
1998  0.89  1.09  1.05  1.16  1.22  1.34  1.08  0.81  1.26  0.72  0.52  1.19  1.18  0.33  0.05 -0.20
1999  0.24  0.41  0.19  0.71  1.45  1.38  1.36  1.90  2.18  1.60  0.86  1.87  2.16  2.07  1.55  1.80
2000  0.73  0.86  1.37  0.99  1.17  0.95  1.16  1.65  1.42  0.50  0.37  0.84  1.49  1.43  1.47  1.61
2001  0.37  0.28  0.27  0.40  0.29  0.65  0.38 -0.06  0.40  1.16  0.68  1.04  0.53  0.58  0.35  0.12
2002 -0.47 -0.36 -0.73 -0.44 -0.25 -0.40 -0.13 -0.08 -0.93 -0.69  0.35 -0.89 -0.37  0.02  0.79  1.26
2003  1.38  1.75  1.26  0.71  0.59  0.34  0.35  0.29  0.45  0.24  0.03  0.56  0.65  0.19 -0.41 -0.25
2004  1.08  1.13  1.10  0.71  0.27 -0.04  0.27  0.06 -0.14 -0.03 -0.25 -0.47 -0.35 -0.49 -0.17 -0.97
2005  0.85  0.99  0.97  1.51  0.80  0.99  0.09  0.26  0.93  0.77  0.25  0.60  1.13  0.89  0.46 -0.31
2006  0.78  1.06  1.65  2.20  1.75  1.35  1.87  1.25  1.23  2.08  1.41  1.48  0.99  1.33  1.25  1.35
2007  0.17  0.17 -0.01 -0.11  0.22  0.52  0.33  0.11 -0.42  0.00  0.14 -0.30 -0.18 -0.47 -0.61 -0.27
2008  1.81  1.80  2.05  1.85  0.75  0.34  0.38 -0.08 -0.10  1.20  1.36  0.23 -0.35 -0.24  0.29  0.27
2009  0.51 -0.02  0.07 -0.38 -0.44 -1.52  0.03  0.58  0.12  0.18  0.05  0.16  0.16  0.09  0.42  0.64
2010  1.52  1.32  0.73  0.39 -0.25 -0.11 -0.27 -0.67  0.34  0.92  1.12  0.86  0.87  1.01  1.22  1.14
2011  0.39  0.54  0.38  0.23 -0.23  0.04  0.86  0.38 -0.36  0.16  1.27 -0.30 -0.23  0.40  0.98  1.05
2012  1.01  1.51  1.94  1.81  1.56  1.72  1.28  1.73  2.52  2.07  1.96  2.34  2.33  2.61  3.27  3.14
2013 -0.77 -0.54 -0.41 -0.13  0.83  0.83  1.79  1.57  1.87  0.53 -0.68  1.52  1.75  1.73  1.44  1.70
2014  0.96  0.83  1.21  1.76  1.13 -0.89   -99  0.28  1.30  1.06  1.91  0.76  1.32  1.33  0.90  1.57
2015  0.08 -0.26 -0.02 -0.49 -0.74 -2.18 -0.39 -0.45 -0.16  0.29  1.34 -0.17  0.47  0.98  1.25  1.01
2016  0.92  0.90 -0.30 -0.24 -0.80   -99 -0.49  0.15  1.02  0.77  2.29  0.67  1.52  1.76  2.14  2.63
2017  0.18  0.02  0.10 -0.12 -0.57 -1.05 -1.77 -0.82  0.28  0.76  0.55  1.13  0.73  1.03  1.47  1.26
2018 -0.95 -0.81 -1.15 -0.70 -0.70 -0.85 -0.22  0.19 -0.57 -0.65 -0.07 -0.30  0.10  1.06  1.40  2.00
2019  0.90  0.29   -99 -0.32 -1.02 -0.88 -1.10 -1.26 -1.40 -0.53  0.18 -1.39 -1.17 -1.03 -0.41  0.22
