"sample_id","station","latitude","longitude","year","month","day","Acartia","Acartia longiremis","Aetideidae","Amphipoda","Ascidiacea","Bivalvia","Bryozoa","Calanus finmarchicus","Calanus glacialis","Calanus hyperboreus","Centropages","Centropages hamatus","Centropages typicus","Chaetognatha","Cirripedia","Cladocera","Clausocalanus","Cnidaria","Ctenophora","Decapoda","Echinodermata","Euchaeta","Euphausiacea","Foraminifera","Gastropoda","Ichthyoplankton","Isopoda","Larvacea","Mecynocera clausi","Metridia","Metridia longa","Metridia lucens","Microcalanus","Microsetella","Mysidacea","Nannocalanus minor","Oithona","Oithona atlantica","Oithona similis","Oncaea","Ostracoda","Paracalanus","Paraeuchaeta norvegica","Pleuromamma","Pleuromamma borealis","Polychaeta","Pseudocalanus","Scolecithricella minor","Temora","Thaliacea","Triconia borealis","Triconia conifera"
"99669003_99669102003001","P5",44.93,-66.85,1999,2,11,0,72.6110949753122,0,0,0,0,0,1161.777519605,0,0,0,0,0,72.6110949753122,0,0,0,0,0,217.833284925937,0,0,0,0,145.222189950624,0,0,0,0,0,1089.16642462968,3267.49927388905,871.333139703747,0,0,0,0,508.277664827186,11399.941911124,72.6110949753122,0,0,72.6110949753122,0,0,72.6110949753122,2250.94394423468,0,0,0,0,72.6110949753122
"99669022_99669102022001","P5",44.93,-66.85,1999,5,13,0,0,0,0,0,0,0,6916.99604743083,0,0,0,0,0,0,0,0,0,0,0,180830.039525692,34584.9802371542,0,62252.9644268775,0,0,0,0,0,0,0,0,2964.42687747036,3952.56916996047,0,0,0,0,1976.28458498024,40513.8339920949,0,0,0,0,0,0,0,32608.6956521739,0,2964.42687747036,0,0,0
"99669007_99669102007001","P5",44.93,-66.85,1999,5,27,1311.18881118881,0,0,0,0,0,0,0,0,0,145.687645687646,0,0,437.062937062937,145.687645687646,291.375291375291,0,145.687645687646,0,1893.93939393939,18939.3939393939,0,5827.50582750583,0,291.375291375291,0,0,437.062937062937,0,0,0,0,0,0,0,0,0,0,2039.62703962704,0,0,0,0,0,0,145.687645687646,145.687645687646,0,582.750582750583,0,0,0
"99669020_99669102020001","P5",44.93,-66.85,1999,6,14,21276.5957446808,0,0,1450.67698259188,0,967.117988394584,0,1934.23597678917,0,0,0,0,0,483.558994197292,0,3868.47195357834,0,967.117988394584,0,2417.79497098646,2901.35396518375,0,10154.7388781431,0,967.117988394584,0,0,28529.9806576402,0,0,0,483.558994197292,0,0,0,0,0,0,16924.5647969052,0,0,1934.23597678917,0,0,0,483.558994197292,3868.47195357834,0,6286.2669245648,0,0,0
"99669008_99669102008001","P5",44.93,-66.85,1999,6,25,0,0,0,0,0,2964.42687747036,0,19762.8458498024,0,0,4940.71146245059,0,0,0,0,988.142292490119,0,0,0,2964.42687747036,988.142292490119,0,6916.99604743083,0,0,0,0,36561.2648221344,0,0,0,1976.28458498024,0,0,0,0,0,0,34584.9802371542,0,0,0,0,0,0,1976.28458498024,91897.233201581,0,8893.28063241107,0,0,0
"99669021_99669102021001","P5",44.93,-66.85,1999,7,14,0,0,0,0,0,19762.8458498024,0,0,0,0,1976.28458498024,0,0,0,0,31620.5533596838,0,4940.71146245059,0,1976.28458498024,0,0,6916.99604743083,0,0,0,0,16798.418972332,0,0,0,988.142292490119,0,0,0,0,0,0,32608.6956521739,0,0,0,0,0,0,0,15810.2766798419,0,41501.976284585,0,0,0
"99669009_99669102009001","P5",44.93,-66.85,1999,7,28,0,31468.5314685315,0,0,0,1748.25174825175,0,909.090909090909,0,0,0,0,12237.7622377622,0,0,0,0,1748.25174825175,0,1748.25174825175,0,0,124125.874125874,0,0,0,0,17482.5174825175,0,0,0,0,0,0,0,0,0,10489.5104895105,115384.615384615,0,0,0,0,0,0,0,34965.034965035,0,20979.020979021,0,0,0
"99669016_99669102016001","P5",44.93,-66.85,1999,8,4,0,8373.20574162679,0,0,0,2392.34449760766,598.086124401914,2000,0,0,0,0,22727.2727272727,0,0,1196.17224880383,0,4186.6028708134,0,0,0,0,14354.0669856459,0,0,0,0,1196.17224880383,0,0,0,4186.6028708134,0,0,598.086124401914,0,0,8373.20574162679,41267.9425837321,0,0,0,0,0,0,0,84330.1435406699,0,16148.3253588517,0,0,0
"99669011_99669102011001","P5",44.93,-66.85,1999,8,30,0,3588.51674641148,0,0,0,20334.9282296651,0,1363.63636363636,0,0,0,0,49043.0622009569,2.27272727272727,0,93301.4354066986,0,2392.34449760766,0,1196.17224880383,0,0,26315.7894736842,0,1196.17224880383,0,0,5980.86124401914,0,0,0,1196.17224880383,0,0,0,0,0,0,55023.9234449761,0,0,0,0,0,0,0,3588.51674641148,0,14354.0669856459,0,0,0
"99669014_99669102014001","P5",44.93,-66.85,1999,9,27,0,0,0,0,0,5454.54545454545,2727.27272727273,436.363636363636,0,0,0,0,49090.9090909091,0,0,61818.1818181818,0,1818.18181818182,0,0,0,0,30909.0909090909,0,0,0,0,19090.9090909091,0,0,0,0,0,0,0,0,0,909.090909090909,27272.7272727273,0,0,10000,0,0,0,0,0,0,909.090909090909,0,0,0
