"sample_id","transect","station","latitude","longitude","year","month","day","season","Acartia","Acartia longiremis","Aetideidae","Amphipoda","Ascidiacea","Bivalvia","Bryozoa","Calanus finmarchicus","Calanus glacialis","Calanus hyperboreus","Calocalanus pavo","Centropages","Centropages hamatus","Centropages typicus","Chaetognatha","Cirripedia","Cladocera","Clausocalanus","Cnidaria","Ctenophora","Decapoda","Echinodermata","Euchaeta","Euphausiacea","Foraminifera","Gastropoda","Heterorhabdus","Ichthyoplankton","Isopoda","Larvacea","Mecynocera clausi","Metridia","Metridia longa","Metridia lucens","Microcalanus","Microsetella","Mysidacea","Nannocalanus minor","Oithona","Oithona atlantica","Oithona similis","Oncaea","Ostracoda","Paracalanus","Paraeuchaeta norvegica","Pleuromamma","Pleuromamma borealis","Pleuromamma robusta","Polychaeta","Pseudocalanus","Scolecithricella minor","Spinocalanus","Temora","Thaliacea","Triconia borealis","Triconia conifera"
"99054013_99054102003002","BBL","BBL1",43.24,-65.47,1999,10,24,"Fall",0,0,0,454.545454545455,0,28181.8181818182,0,1840.90909090909,0,0,0,0,0,35454.5454545455,1363.63636363636,0,0,454.545454545455,0,0,0,909.090909090909,0,0,0,909.090909090909,0,0,0,0,0,0,3181.81818181818,14545.4545454545,909.090909090909,454.545454545455,0,0,0,2272.72727272727,25909.0909090909,0,0,6818.18181818182,0,0,0,0,0,6363.63636363636,0,0,1363.63636363636,0,0,0
"2000050018_2000050102004002","BBL","BBL1",43.25,-65.49,2000,10,1,"Fall",0,0,0,0,1810.97906055461,1810.97906055461,0,797.693157625246,0,0,0,0,0,18109.7906055461,0,0,13582.3429541596,0,0,0,0,1810.97906055461,0,0,0,905.489530277306,0,0,0,6791.1714770798,0,0,1358.23429541596,5885.68194680249,0,452.744765138653,0,0,0,905.489530277306,57951.3299377476,0,0,33050.3678551217,0,0,0,0,0,4527.44765138653,0,0,1810.97906055461,1358.23429541596,0,0
"2001061050_2001061102014002","BBL","BBL1",43.25,-65.47,2001,10,24,"Fall",0,0,0,452.729693741678,0,0,0,431.171136896836,0,0,0,0,0,12223.7017310253,0,0,0,0,0,0,0,0,0,0,0,0,0,452.729693741678,0,0,0,0,0,0,0,0,0,0,0,0,9054.59387483356,0,0,0,0,0,0,0,452.729693741678,55685.7523302264,0,0,2716.37816245007,0,0,0
"2002064131_2002064102010001","BBL","BBL1",43.25,-65.47,2002,10,23,"Fall",0,0,0,0,0,0,0,1164.12176713684,0,0,0,0,0,13128.7065960433,0,0,0,905.428041106433,0,0,0,0,0,0,0,452.714020553216,0,0,0,452.714020553216,0,0,0,1810.85608221287,452.714020553216,0,0,0,0,1358.14206165965,43007.8319525556,0,452.714020553216,38933.4057675766,0,452.714020553216,0,0,0,20824.844945448,0,0,42102.4039114491,0,0,0
"2003067010_2003067102002001","BBL","BBL1",43.25,-65.48,2003,10,20,"Fall",0,0,0,0,0,0,0,4697.02246212781,0,0,0,0,0,7243.60090545011,6.79087584885948,0,0,452.725056590632,0,0,0,0,0,26269.3714086714,0,0,0,0,0,0,0,0,0,0,1358.1751697719,0,0,0,0,0,11318.1264147658,0,0,12223.5765279471,0,0,0,0,3169.07539613442,131290.266411283,0,0,1358.1751697719,0,0,0
"2004055009_2004055102002001","BBL","BBL1",43.25,-65.48,2004,10,20,"Fall",0,0,0,0,0,0,226.369768086482,1708.06279556164,0,0,0,0,0,16751.3628383997,0,0,0,226.369768086482,0,0,0,226.369768086482,0,0,0,452.739536172965,0,0,0,0,0,0,679.109304259447,226.369768086482,0,226.369768086482,0,0,0,226.369768086482,0,0,0,2490.06744895131,0,0,0,0,0,2716.43721703779,0,0,679.109304259447,0,0,0
"2005055112_2005055102025001","BBL","BBL1",43.25,-65.49,2005,10,30,"Fall",0,0,0,0,0,0,2037.28855414249,2407.70465489567,0,0,0,0,0,1358.19236942832,0,0,0,0,0,0,0,0,0,226.365394904721,0,0,0,0,0,0,0,0,226.365394904721,4300.94250318969,452.730789809441,0,0,0,0,452.730789809441,27390.2127834712,0,0,31238.4244968515,0,0,0,0,0,452.730789809441,0,0,226.365394904721,0,0,0
"2006052015_2006052102002001","BBL","BBL1",43.25,-65.48,2006,10,6,"Fall",0,0,0,0,0,0,0,4039.2796733987,0,0,0,32763.7844122444,0,0,13.5820779018031,0,595.705171131717,1191.41034226343,0,70.1740691593162,0,0,0,1191.41034226343,0,595.705171131717,0,0,0,1191.41034226343,0,0,595.705171131717,8935.57756697575,0,0,0,0,0,0,26806.7327009272,0,0,68506.0946801474,0,0,0,0,0,595.705171131717,0,0,0,0,0,0
"2007045062_2007045102008001","BBL","BBL1",43.25,-65.48,2007,10,10,"Fall",0,0,0,0,0,0,0,905.469032959073,22.6367258239768,22.6367258239768,0,339.550887359652,0,0,113.183629119884,0,0,792.285403839189,0,0,0,0,113.183629119884,568.181818181818,0,113.183629119884,0,2.26367258239768,0,0,113.183629119884,0,0,1018.65266207896,226.367258239768,0,0,226.367258239768,1584.57080767838,0,6451.46685983339,113.183629119884,452.734516479536,3848.24339007606,0,0,339.550887359652,113.183629119884,0,452.734516479536,0,113.183629119884,0,0,0,0
"2008037141_2008037102023001","BBL","BBL1",43.25,-65.47,2008,10,13,"Fall",0,0,0,0,0,0,0,86.2330312931586,0,0,0,8601.74487149257,0,0,0,0,0,0,0,4.52723414289083,452.723414289083,1358.17024286725,0,0,0,452.723414289083,0,6.79085121433624,0,0,0,0,0,0,905.446828578165,0,905.446828578165,0,0,905.446828578165,6790.85121433624,0,0,905.446828578165,0,0,0,0,24453.8552228248,56590.4267861353,0,0,1358.17024286725,0,0,0
"2009048135_2009048102029002","BBL","BBL1",43.25,-65.48,2009,10,10,"Fall",0,0,0,0,0,0,0,362.191628938372,0,0,0,905.47907234593,0,646.770765961378,2.26369768086483,0,0,0,0,488.635313683821,0,0,0,0,0,0,0,2.26369768086483,0,0,0,0,64.6770765961378,646.770765961378,194.031229788414,0,0,0,194.031229788414,0,1875.635221288,0,0,3751.27044257599,0,0,0,0,646.770765961378,1681.60399149958,0,0,0,0,64.6770765961378,0
"2011043076_2011043102011001","BBL","BBL1",43.2494,-65.48116,2011,10,2,"Fall",0,0,0,0,0,0,0,5206.31926432445,0,0,0,6081.35929642051,0,7094.91917915727,0,0,337.853294245584,0,0,4.52723414289083,0,0,0,675.706588491168,0,1693.79370537081,0,0,0,3716.38623670143,0,1351.41317698234,1013.55988273675,1689.26647122792,0,675.706588491168,0,0,337.853294245584,1013.55988273675,17568.3713007704,0,0,25001.1437741732,0,0,0,0,0,2364.97305971909,0,0,337.853294245584,0,0,0
"93_S2012042102027001","BBL","BBL1",43.2501,-65.48189,2012,10,2,"Fall",0,0,0,0,0,5432.70067908758,0,1275.86152311905,0,0,452.725056590632,0,0,4527.25056590632,452.725056590632,0,0,1810.90022636253,0,0,0,905.450113181264,0,0,2263.62528295316,2263.62528295316,0,0,452.725056590632,0,0,0,0,0,905.450113181264,0,0,905.450113181264,4074.52550931569,452.725056590632,47083.4058854257,0,0,5885.42573567822,0,0,0,0,7243.60090545011,24447.1530558941,0,0,0,0,0,0
"181_S2013037102058001","BBL","BBL1",43.2494,-65.4791,2013,10,5,"Fall",0,0,0,0,0,1810.91364446371,1810.91364446371,10124.6535576835,82.3142565665322,0,0,57043.7798006068,0,26258.2478447238,11.3182102778982,0,3621.82728892742,0,0,6.79092616673891,0,905.456822231855,0,0,0,3621.82728892742,0,0,0,4527.28411115927,0,4527.28411115927,0,5432.74093339113,905.456822231855,0,0,0,6338.19775562298,5432.74093339113,71531.0889563165,0,0,35312.8160670423,0,0,0,0,0,36218.2728892742,0,0,14487.3091557097,0,0,0
"180_404924","BBL","BBL1",43.25001,-65.48143,2014,10,7,"Fall",0,0,0,0,0,1788.12415654521,0,1052.48943538906,0,0,0,18477.2829509672,0,33974.358974359,0,0,0,1192.08277103014,0,596.04138551507,0,596.04138551507,0,0,1192.08277103014,1192.08277103014,0,0,0,4172.28969860549,0,3576.24831309042,596.04138551507,4768.33108412056,0,0,0,0,596.04138551507,2384.16554206028,28013.9451192083,0,0,28013.9451192083,0,0,0,0,0,3576.24831309042,0,0,596.04138551507,10728.7449392713,0,0
