"YEAR"	"region"	"NTRZ50_150"	"chl0_100"
1999	"eGSL"	805.915415094434	33.4072785282441
2000	"eGSL"	871.417675042396	31.2353647672026
2001	"eGSL"	787.344135533071	34.6755582570441
2002	"eGSL"	887.716622388526	48.1409926059636
2003	"eGSL"	907.488129168534	34.1304152321892
2004	"eGSL"	750.532708474599	31.6193629937783
2005	"eGSL"	835.5614403442	28.24428585059
2006	"eGSL"	964.542297079171	32.4309130156879
2007	"eGSL"	907.602672987464	34.8733941649696
2008	"eGSL"	864.36963434167	34.8927350631382
2009	"eGSL"	894.020724769243	36.5386618660123
2010	"eGSL"	831.669487629028	31.637605237662
2011	"eGSL"	877.250217852091	27.9862601530479
2012	"eGSL"	971.776810253196	31.539372935825
2013	"eGSL"	937.595800099173	40.9046745793244
2014	"eGSL"	946.11981931763	39.3754100755623
2015	"eGSL"	1077.89293045727	58.8555180560719
2016	"eGSL"	838.01449356604	35.1992686054738
2017	"eGSL"	785.195645005489	43.0288643988185
2018	"eGSL"	776.652659317076	39.6699040431632
2019	"eGSL"	827.905051857183	43.3558773482021
1999	"sGSL"	34.1250010308194	35.2878724095566
2000	"sGSL"	34.7669537903056	16.5365139589512
2001	"sGSL"	39.5636389807865	33.0444989289749
2002	"sGSL"	70.7584411817561	58.6652348790332
2003	"sGSL"	89.4860119232813	34.3859086190192
2004	"sGSL"	53.7099093260051	26.924773827717
2005	"sGSL"	15.7613940856666	23.3739429097803
2006	"sGSL"	58.2323210407678	31.2785054360414
2007	"sGSL"	24.6546672793501	33.9128991769271
2008	"sGSL"	42.7206903006174	26.7188417061574
2009	"sGSL"	71.5700675261252	28.0217528888868
2010	"sGSL"	29.6184971062579	36.0638846931267
2011	"sGSL"	52.6209067010111	28.5358019825396
2012	"sGSL"	42.2270954651159	32.018858486978
2013	"sGSL"	38.5641398242255	41.4150444952967
2014	"sGSL"	17.0976166463227	30.3914515511862
2015	"sGSL"	42.3874818567828	38.7678150385267
2016	"sGSL"	47.2936750533315	36.1397466580483
2017	"sGSL"	28.9189508102067	54.5474379527022
2018	"sGSL"	31.0240998074617	35.7487482738865
2019	"sGSL"	52.6415517474265	29.3961353357703
1999	"wGSL"	1261.26649945283	43.2206911968534
2000	"wGSL"	1058.53414804554	25.835539868701
2001	"wGSL"	1291.09477662198	49.7295063436123
2002	"wGSL"	1340.19114018939	60.4053369299304
2003	"wGSL"	1271.7603939882	74.1587741937629
2004	"wGSL"	1059.36565711668	42.0658368839305
2005	"wGSL"	1166.1476601082	41.2169028304321
2006	"wGSL"	1265.32835213391	44.5216151775968
2007	"wGSL"	1216.84808356325	50.4913686410243
2008	"wGSL"	1220.25974080522	61.0366139202167
2009	"wGSL"	1199.00353537402	46.3912117269226
2010	"wGSL"	1068.93223162695	47.3764977724004
2011	"wGSL"	1133.98206393077	35.1566111250246
2012	"wGSL"	1338.63519524248	58.998033339739
2013	"wGSL"	1235.77878581107	24.4996352394846
2014	"wGSL"	1210.02426944089	52.4122100194275
2015	"wGSL"	1466.11741344585	49.0679994415029
2016	"wGSL"	1220.00801275038	35.1874758749626
2017	"wGSL"	1246.50388810386	36.3444733611488
2018	"wGSL"	1155.98362827931	78.8601422056614
2019	"wGSL"	1239.93637194466	68.4349391462
1999	"Rimouski"	1295.59984449561	92.6513549857833
2000	"Rimouski"	1384.3920135826	21.9009174295683
2001	"Rimouski"	1535.0917012879	43.3504861176715
2002	"Rimouski"	1576.69127344679	28.4859882660593
2003	"Rimouski"	1363.11911114175	44.1937393505943
2004	"Rimouski"	1412.50262676466	15.1719325301495
2005	"Rimouski"	1389.91184297422	19.445296911637
2006	"Rimouski"	1551.32518881792	20.0258171517096
2007	"Rimouski"	1573.50556079293	41.2671316145932
2008	"Rimouski"	1388.19791815952	11.3674340973402
2009	"Rimouski"	1443.67660136439	27.8298683429729
2010	"Rimouski"	1260.03983809894	30.5338943293213
2011	"Rimouski"	1302.80203246248	30.8313799836973
2012	"Rimouski"	1450.80520864619	38.4803792189593
2013	"Rimouski"	1360.19071757698	25.2704940888126
2014	"Rimouski"	1540.06766306037	56.4689091030402
2015	"Rimouski"	1496.99282176716	34.7357024856145
2016	"Rimouski"	1468.22588115094	42.5656797065795
2017	"Rimouski"	1398.69787497747	26.4557596162031
2018	"Rimouski"	1228.44555778033	38.0872848731242
2019	"Rimouski"	1584.40165381948	45.5299988336617
1999	"ShediacValley"	266.376989872822	35.6112752043913
2000	"ShediacValley"	334.433786017327	32.052175339225
2001	"ShediacValley"	277.960673120772	46.2072123590054
2002	"ShediacValley"	238.896437359149	95.2354687603813
2003	"ShediacValley"	277.00910307215	50.4985077848217
2004	"ShediacValley"	251.150543087917	43.0478872486863
2005	"ShediacValley"	225.738258462692	39.3378451062234
2006	"ShediacValley"	317.737670403333	47.483493280579
2007	"ShediacValley"	203.543166424532	74.0390184950558
2008	"ShediacValley"	264.362888737665	72.8487773048051
2009	"ShediacValley"	239.622913326496	47.3728224738677
2010	"ShediacValley"	179.619236042739	39.3823665753868
2011	"ShediacValley"	208.914607144348	34.3060758926323
2012	"ShediacValley"	243.737449932171	53.0746449838148
2013	"ShediacValley"	257.333630974199	56.2839211107908
2014	"ShediacValley"	285.690489064871	43.8320545583122
2015	"ShediacValley"	263.021731259385	42.9949182188699
2016	"ShediacValley"	245.827143674257	36.8324100318832
2017	"ShediacValley"	254.194503528329	68.7057190729172
2018	"ShediacValley"	245.501201628961	40.5693617393517
2019	"ShediacValley"	282.796418689685	42.7504619217639
