"station","eGSL","eGSL","eGSL","eGSL","eGSL","Rimouski","Rimouski","Rimouski","Rimouski","Rimouski","wGSL","wGSL","wGSL","wGSL","wGSL","sGSL","sGSL","sGSL","sGSL","sGSL","Shediac Valley","Shediac Valley","Shediac Valley","Shediac Valley","Shediac Valley"
"Taxon","Calanus finmarchicus","Pseudocalanus spp.","Total copepods","Non copepods","Dry weight","Calanus finmarchicus","Pseudocalanus spp.","Total copepods","Non copepods","Dry weight","Calanus finmarchicus","Pseudocalanus spp.","Total copepods","Non copepods","Dry weight","Calanus finmarchicus","Pseudocalanus spp.","Total copepods","Non copepods","Dry weight","Calanus finmarchicus","Pseudocalanus spp.","Total copepods","Non copepods","Dry weight"
1999,,,,,,,,,,,,,,,,,,,,,13.6609918916,26.6816566841357,222.114327480808,14.6539815344654,5.48302725372085
2000,24.1909884117922,20.2910336829932,186.845342029204,10.8774512794255,,,,,,,11.2891356932809,4.67673140555799,68.9962722075746,8.41003814743797,,12.5404340068661,17.7476801458818,68.9115133156244,5.09752766951467,,12.8007079134955,11.305129362102,149.175808455259,3.23949080007593,5.29032770776728
2001,11.3339020892519,7.35165961431343,70.6271456739655,3.45395667722194,9.49551639816652,,,,,,5.59949962313695,0.624747554043528,41.7998785801103,3.8081899350011,12.4846372301168,11.7045015196237,17.2237670655328,99.9436202325997,2.15334326160663,5.59106777935758,12.4969790825628,15.4902284459616,133.489710087722,2.74473299243809,5.60799052103492
2002,14.6031159048677,6.19393350250706,114.64758831228,3.90819011901969,12.6750292987373,,,,,,7.89515029540271,1.2199114225945,52.8653195111091,2.549384886993,11.8557906030654,20.4017260890506,17.8375534762739,171.355430621553,2.49996790288155,4.45668042396466,10.1336335539495,14.0594645630246,129.698876190462,4.47329283799346,2.98891401087811
2003,13.6783713404197,14.4449517569856,133.466065306646,4.39379668692355,11.0325777688265,,,,,,15.5630376020816,1.98993644686955,69.2790977901081,2.43272434727205,14.2652840835968,7.63051049788298,12.7024561029751,94.4278767975066,1.62415175301821,4.81284479086859,18.2014516332024,12.7849380629402,144.390307869176,1.37210282245216,8.69175897368154
2004,22.3504818936291,20.0991953888983,174.509184307557,8.00373603818543,12.8215187207383,,,,,,13.5536015421257,2.57021334180625,76.7791104106261,3.91896481994096,10.101604034561,14.5536015532507,24.7561581837433,131.606221417471,1.99874242217319,3.92976817522725,16.9553890964098,13.3307520916928,120.147525499172,4.32017664776528,4.46602710507429
2005,12.8968175565296,9.80787650958844,120.404329979207,11.120091215019,9.54372635084163,6.43305456441837,0.848201360024623,37.7125065330475,4.86878078263165,13.2338580406797,7.11129123111449,1.87083024022707,77.6310432963326,3.8802606107477,11.3921157298543,6.6484548914343,16.7240042885834,112.535502477358,10.6361587260371,2.79898398171719,8.72862623775952,21.1519784816486,144.577005550649,4.66899691428956,1.87425285058038
2006,11.9895709126663,13.2619608062034,124.491200814851,15.2012215207424,10.4836527966997,12.6415077241882,0.807648272808239,48.1598065636866,3.63488540589896,13.4927404433905,19.4380914012292,5.04311199088217,125.565550582452,12.6496676843654,11.1062324435751,16.8180527361968,27.3321202349755,198.584518012103,8.04041755558653,5.31942283312866,14.3633924531986,7.17112957270932,131.296132818969,10.7936160126435,5.57635713187557
2007,18.4004408683301,9.87401100480484,153.79307002342,10.9633883492462,12.1227687987376,25.1261498590461,1.48207348699014,64.5214106057655,6.65487684207069,17.2485810899491,26.4024908404068,7.31160402349263,117.492131882434,25.1610494958933,14.5588966658051,10.3876588015155,13.7180870271417,166.559680720909,10.0157225008834,6.63982888723049,9.59114989676299,4.27119998449376,160.826417579647,5.081335019181,4.1509808536388
