"sample_id","station","year","month","day","yearday","season","latitude","longitude","depth","Acartia","Acartia hudsonica","Aetideidae","Calanus finmarchicus","Calanus finmarchicus I-IV","Calanus finmarchicus V","Calanus finmarchicus VI","Calanus glacialis","Calanus hyperboreus","Calocalanus pavo","Centropages","Centropages hamatus","Centropages typicus","Clausocalanus","Euchaeta","Mecynocera clausi","Metridia","Metridia longa","Metridia lucens","Microcalanus","Microsetella","Nannocalanus minor","Oithona","Oithona atlantica","Oithona similis","Oncaea","Paracalanus","Paraeuchaeta norvegica","Pleuromamma","Pleuromamma borealis","Pleuromamma robusta","Pseudocalanus","Scolecithricella minor","Spinocalanus","Temora","Triconia borealis","Triconia conifera"
"99666001_99666102001001","HL2",1999,1,13,13,NA,44.26,-63.31,149,0,0,0,9244.71299093656,5120.84592145015,1540.78549848943,2583.08157099698,0,453.172205438066,0,0,0,1078.98144151921,0,0,0,0,1798.30240253201,2157.96288303841,0,0,0,0,0,68695.1517767228,0,0,0,0,0,0,3956.26528557042,0,0,2877.28384405122,0,0
"98078001_98078102003001","HL2",1999,2,10,41,NA,44.26,-63.31,149,0,0,0,12444.4444444444,9121.89859762675,966.55879180151,2355.98705501618,0,72.3761076129326,0,0,0,144.752215225865,72.3761076129326,0,0,0,940.889398968123,4053.06202632422,0,0,0,0,72.3761076129326,10349.7833886494,0,0,0,0,0,0,506.632753290528,72.3761076129326,0,0,0,289.50443045173
"98078057_98078102004001","HL2",1999,2,16,47,NA,44.26,-63.31,149,0,0,0,10096.8515742129,5342.72863568216,2897.75112443778,1856.37181409295,0,90.5547226386807,0,0,0,3937.16185385568,1968.58092692784,0,0,0,2952.87139039176,35434.4566847011,0,0,0,0,984.29046346392,144690.698129196,0,0,0,0,0,0,39371.6185385568,984.29046346392,0,0,0,984.29046346392
"98079037_98079102005001","HL2",1999,3,31,90,NA,44.26,-63.31,149,0,0,0,18382.6086956522,16118.7406296852,633.883058470765,1629.98500749625,0,1720.53973013493,0,25468.5157421289,0,0,0,0,0,0,5659.67016491754,31128.1859070465,0,0,0,2829.83508245877,2829.83508245877,161300.59970015,0,0,0,0,0,0,67916.0419790105,0,0,19808.8455772114,0,0
"99003013_99003102003002","HL2",1999,4,8,98,NA,44.26,-63.31,149,0,0,0,101854.556074766,96195.9696261682,0,5658.58644859813,8487.8796728972,50927.2780373832,0,0,0,0,0,0,0,0,0,0,8487.8796728972,0,0,0,0,164099.007009346,0,0,0,0,0,0,33951.5186915888,0,0,67903.0373831776,0,2829.29322429907
"99003212_99003102037002","HL2",1999,4,17,107,NA,44.26,-63.31,149,0,0,0,62297.7346278317,59466.0194174757,2831.71521035599,0,8495.14563106796,28317.1521035599,0,2831.71521035599,0,0,0,0,0,0,0,11326.8608414239,5663.43042071197,0,0,0,2831.71521035599,164239.482200647,0,0,0,0,0,0,116100.323624595,0,0,45307.4433656958,0,5663.43042071197
"99003216_99003102038001","HL2",1999,4,17,107,NA,44.26,-63.31,149,0,0,0,121008.771929825,80672.514619883,39883.0409356725,453.216374269006,14049.7076023392,66622.8070175439,0,0,0,0,0,0,0,0,0,16995.6140350877,2832.60233918129,0,0,0,0,192616.959064327,0,0,0,0,0,0,141630.116959064,0,0,11330.4093567251,0,0
"99666008_99666102008001","HL2",1999,5,5,125,NA,44.26,-63.31,149,1416.16314199396,0,0,32809.667673716,24471.2990936556,4169.18429003021,4169.18429003021,0,10332.3262839879,0,25490.9365558912,0,0,0,0,0,0,4248.48942598187,5664.65256797583,0,0,0,0,4248.48942598187,121790.03021148,1416.16314199396,0,0,0,0,0,32571.752265861,0,0,2832.32628398792,0,4248.48942598187
"99666009_99666102009001","HL2",1999,5,19,139,NA,44.26,-63.31,149,0,0,0,38614.0350877193,32269.0058479532,4350.87719298246,1994.15204678363,1743.13990103464,6526.31578947368,0,6972.55960413855,0,0,0,0,0,0,1743.13990103464,27890.2384165542,0,0,0,0,5229.41970310391,113304.093567251,0,0,0,0,0,0,95872.6945569051,0,0,5229.41970310391,0,1743.13990103464
"99666010_99666102010001","HL2",1999,6,10,161,NA,44.26,-63.31,149,0,0,0,33168.75,15406.25,14681.25,3081.25,0,3625,0,1416.015625,0,0,0,0,0,0,0,5664.0625,0,2832.03125,0,0,11328.125,150097.65625,2832.03125,0,0,0,0,0,89208.984375,0,0,25488.28125,0,2832.03125
"99022008_99022102002001","HL2",1999,6,27,178,NA,44.26,-63.31,149,0,0,0,32958.4601316204,24266.1189980062,6519.25585021062,2173.08528340354,0,4889.44188765797,0,0,0,8488.61438829508,0,0,0,0,5659.07625886339,36783.995682612,0,0,0,0,22636.3050354535,166942.74963647,0,0,0,0,0,0,113181.525177268,0,0,87715.6820123825,0,2829.53812943169
"99025001_99025102001001","HL2",1999,7,5,186,NA,44.26,-63.31,149,0,0,0,32958.1466506393,12132.9440966639,20100.8476825327,724.354871442621,0,1810.88717860655,0,0,0,12732.8004745773,0,0,0,0,5659.02243314548,7073.77804143185,0,0,0,0,4244.26682485911,128742.76035406,0,0,0,0,0,0,65078.757981173,0,0,36783.6458154456,0,0
"99025097_99025102097001","HL2",1999,7,17,198,NA,44.26,-63.31,149,0,0,0,34916.1181570075,27525.4454968695,1629.79611494622,5760.87654519184,0,4165.03451597367,0,2829.50714400385,0,0,0,0,0,0,5659.01428800771,15562.2892920212,0,0,0,0,26880.3178680366,93373.7357521271,0,0,0,0,0,0,46686.8678760636,1414.75357200193,0,11318.0285760154,0,0
"99029107_99029102107001","HL2",1999,7,31,212,NA,44.26,-63.31,149,0,0,0,18382.6086956522,9598.80059970015,7516.04197901049,1267.76611694153,0,905.547226386807,0,8489.50524737631,0,0,0,0,0,0,1414.91754122939,14149.1754122939,0,0,0,0,16979.0104947526,216482.383808096,0,5659.67016491754,0,0,0,0,29713.2683658171,0,0,21223.7631184408,0,1414.91754122939
"99666011_99666102011001","HL2",1999,8,13,225,NA,44.26,-63.31,149,0,0,0,19031.25,16221.875,2084.375,725,0,1812.5,0,0,0,76682.6923076923,0,0,0,0,1742.78846153846,6971.15384615385,0,0,0,0,22656.25,264903.846153846,1742.78846153846,3485.57692307692,0,0,0,0,40084.1346153846,0,0,5228.36538461538,0,1742.78846153846
"99666012_99666102012001","HL2",1999,8,27,239,NA,44.26,-63.31,149,0,0,0,11595.2941176471,8334.11764705882,2898.82352941176,362.352941176471,0,1087.05882352941,0,0,0,172683.823529412,0,0,0,0,5661.76470588235,5661.76470588235,0,0,0,0,8492.64705882353,288750,5661.76470588235,8492.64705882353,0,0,0,0,50955.8823529412,0,0,5661.76470588235,0,0
"99666013_99666102013001","HL2",1999,9,10,253,NA,44.26,-63.31,149,0,0,0,11057.4018126888,3927.49244712991,6465.25679758308,664.652567975831,0,543.80664652568,0,0,0,13016.6484540721,0,0,0,0,0,3856.78472713248,0,0,0,0,11088.2560905059,26515.3949990358,0,964.19618178312,0,0,0,0,964.19618178312,0,0,0,0,1446.29427267468
