"sample_id","station","latitude","longitude","year","month","day","Acartia","Acartia longiremis","Aetideidae","Amphipoda","Ascidiacea","Bivalvia","Bryozoa","Calanus finmarchicus","Calanus glacialis","Calanus hyperboreus","Calocalanus pavo","Centropages","Centropages hamatus","Centropages typicus","Chaetognatha","Cirripedia","Cladocera","Clausocalanus","Cnidaria","Ctenophora","Decapoda","Echinodermata","Euchaeta","Euphausiacea","Foraminifera","Gastropoda","Ichthyoplankton","Isopoda","Larvacea","Mecynocera clausi","Metridia","Metridia longa","Metridia lucens","Microcalanus","Microsetella","Mysidacea","Nannocalanus minor","Oithona","Oithona atlantica","Oithona similis","Oncaea","Ostracoda","Paracalanus","Paraeuchaeta norvegica","Pleuromamma","Pleuromamma borealis","Pleuromamma robusta","Polychaeta","Pseudocalanus","Scolecithricella minor","Spinocalanus","Temora","Thaliacea","Triconia borealis","Triconia conifera"
"99666001_99666102001001","HL2",44.26,-63.31,1999,1,13,0,0,0,0,0,0,0,9244.71299093656,0,453.172205438066,0,0,0,1078.98144151921,359.660480506402,0,0,0,0,0,0,0,0,0,0,1438.64192202561,0,0,0,0,0,1798.30240253201,2157.96288303841,0,0,0,0,0,0,68695.1517767228,0,0,0,0,0,0,0,0,3956.26528557042,0,0,2877.28384405122,0,0,0
"98078001_98078102003001","HL2",44.26,-63.31,1999,2,10,0,0,0,0,0,0,0,12444.4444444444,0,72.3761076129326,0,0,0,144.752215225865,579.008860903461,0,0,72.3761076129326,0,0,0,0,0,0,0,940.889398968123,0,0,0,0,0,940.889398968123,4053.06202632422,0,0,0,0,0,72.3761076129326,10349.7833886494,0,0,0,0,0,0,0,0,506.632753290528,72.3761076129326,0,0,0,0,289.50443045173
"98078057_98078102004001","HL2",44.26,-63.31,1999,2,16,0,0,0,0,0,0,0,10096.8515742129,0,90.5547226386807,0,0,0,3937.16185385568,984.29046346392,0,0,1968.58092692784,0,0,0,984.29046346392,0,0,0,2952.87139039176,0,0,5905.74278078352,0,0,2952.87139039176,35434.4566847011,0,0,0,0,0,984.29046346392,144690.698129196,0,0,0,0,0,0,0,1968.58092692784,39371.6185385568,984.29046346392,0,0,0,0,984.29046346392
"98079037_98079102005001","HL2",44.26,-63.31,1999,3,31,0,0,0,0,0,0,0,18382.6086956522,0,1720.53973013493,0,25468.5157421289,0,0,0,0,0,0,0,0,0,0,0,14149.1754122939,0,8489.50524737631,0,0,325431.034482759,0,0,5659.67016491754,31128.1859070465,0,0,0,0,2829.83508245877,2829.83508245877,161300.59970015,0,0,0,0,0,0,0,14149.1754122939,67916.0419790105,0,0,19808.8455772114,0,0,0
"99003013_99003102003002","HL2",44.26,-63.31,1999,4,8,0,0,0,0,0,0,0,101854.556074766,8487.8796728972,50927.2780373832,0,0,0,0,45268.691588785,5658.58644859813,0,0,0,0,0,0,0,50927.2780373832,0,5658.58644859813,42439.398364486,0,161269.713785047,0,0,0,0,8487.8796728972,0,0,0,0,0,164099.007009346,0,0,0,0,0,0,0,22634.3457943925,33951.5186915888,0,0,67903.0373831776,0,0,2829.29322429907
"99003212_99003102037002","HL2",44.26,-63.31,1999,4,17,0,0,0,0,2831.71521035599,45307.4433656958,0,62297.7346278317,8495.14563106796,28317.1521035599,0,2831.71521035599,0,0,11.3268608414239,0,0,0,0,0,11326.8608414239,0,0,59472.8155339806,0,5663.43042071197,54.3689320388349,0,99110.0323624595,0,0,0,11326.8608414239,5663.43042071197,0,0,0,0,2831.71521035599,164239.482200647,0,0,0,0,0,0,0,11326.8608414239,116100.323624595,0,0,45307.4433656958,0,0,5663.43042071197
"99003216_99003102038001","HL2",44.26,-63.31,1999,4,17,0,0,0,0,0,48154.2397660819,0,121008.771929825,14049.7076023392,66622.8070175439,0,0,0,0,19828.216374269,0,0,0,0,0,8497.80701754386,0,0,59484.649122807,0,8497.80701754386,53819.4444444444,0,113304.093567251,0,0,0,16995.6140350877,2832.60233918129,0,0,0,0,0,192616.959064327,0,0,0,0,0,0,0,19828.216374269,141630.116959064,0,0,11330.4093567251,0,0,0
"99666008_99666102008001","HL2",44.26,-63.31,1999,5,5,1416.16314199396,0,0,0,0,16993.9577039275,0,32809.667673716,0,10332.3262839879,0,25490.9365558912,0,0,0,0,0,0,0,0,0,1416.16314199396,0,7080.81570996979,0,1416.16314199396,0,0,5664.65256797583,0,0,4248.48942598187,5664.65256797583,0,0,0,0,0,4248.48942598187,121790.03021148,1416.16314199396,0,0,0,0,0,0,9913.1419939577,32571.752265861,0,0,2832.32628398792,0,0,4248.48942598187
"99666009_99666102009001","HL2",44.26,-63.31,1999,5,19,0,0,0,0,0,45321.6374269006,0,38614.0350877193,1743.13990103464,6526.31578947368,0,6972.55960413855,0,0,3486.27980206928,0,0,0,0,0,1743.13990103464,6972.55960413855,0,3486.27980206928,0,1743.13990103464,0,0,10458.8394062078,0,0,1743.13990103464,27890.2384165542,0,0,0,0,0,5229.41970310391,113304.093567251,0,0,0,0,0,0,0,3486.27980206928,95872.6945569051,0,0,5229.41970310391,0,0,1743.13990103464
"99666010_99666102010001","HL2",44.26,-63.31,1999,6,10,0,0,0,0,0,16992.1875,0,33168.75,0,3625,0,1416.015625,0,0,0,0,0,0,0,0,0,9912.109375,0,5664.0625,0,1416.015625,0,0,15576.171875,0,0,0,5664.0625,0,2832.03125,0,0,0,11328.125,150097.65625,2832.03125,0,0,0,0,0,0,0,89208.984375,0,0,25488.28125,0,0,2832.03125
