                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Avalon_Channel            ,  2003,       113.9,       2.047,        23.7,       33.92
Avalon_Channel            ,  2004,        84.3,       1.061,        56.1,       41.61
Avalon_Channel            ,  2005,        76.9,       0.833,        51.9,       30.18
Avalon_Channel            ,  2006,       103.4,       5.146,        17.0,       61.14
Avalon_Channel            ,  2007,       101.2,       4.333,        19.7,       59.74
Avalon_Channel            ,  2008,       104.3,       2.196,        28.7,       44.03
Avalon_Channel            ,  2009,        85.0,       3.970,        18.8,       52.05
Avalon_Channel            ,  2010,        92.7,       5.108,        14.6,       52.11
Avalon_Channel            ,  2011,        97.5,       2.363,        27.6,       45.49
Avalon_Channel            ,  2012,        95.0,       1.948,        16.9,       23.00
Avalon_Channel            ,  2013,       109.9,       9.933,        11.5,       79.92
Avalon_Channel            ,  2014,       103.6,       2.429,        31.1,       52.73
Avalon_Channel            ,  2015,       122.8,       3.704,        13.9,       35.93
Avalon_Channel            ,  2016,       110.9,       4.125,        14.6,       42.08
Avalon_Channel            ,  2017,       116.0,       2.439,        17.3,       29.41
Bay_of_Fundy              ,  2003,       110.4,       1.586,        14.4,       15.90
Bay_of_Fundy              ,  2004,       103.8,       2.048,        42.4,       60.59
Bay_of_Fundy              ,  2005,            ,            ,            ,            
Bay_of_Fundy              ,  2006,            ,            ,            ,            
Bay_of_Fundy              ,  2007,       120.9,       1.511,        42.4,       44.68
Bay_of_Fundy              ,  2008,            ,            ,            ,            
Bay_of_Fundy              ,  2009,       105.1,       1.941,        48.8,       66.11
Bay_of_Fundy              ,  2010,        74.8,       2.008,        48.5,       67.94
Bay_of_Fundy              ,  2011,       141.3,       5.534,        11.7,       45.36
Bay_of_Fundy              ,  2012,       125.9,       3.989,        38.4,      107.00
Bay_of_Fundy              ,  2013,            ,            ,            ,            
Bay_of_Fundy              ,  2014,            ,            ,            ,            
Bay_of_Fundy              ,  2015,            ,            ,            ,            
Bay_of_Fundy              ,  2016,        99.1,       0.940,        53.7,       35.26
Bay_of_Fundy              ,  2017,        93.5,       1.302,        61.7,       56.09
Bras_dOr                  ,  2003,            ,            ,            ,            
Bras_dOr                  ,  2004,            ,            ,            ,            
Bras_dOr                  ,  2005,            ,            ,            ,            
Bras_dOr                  ,  2006,            ,            ,            ,            
Bras_dOr                  ,  2007,            ,            ,            ,            
Bras_dOr                  ,  2008,            ,            ,            ,            
Bras_dOr                  ,  2009,            ,            ,            ,            
Bras_dOr                  ,  2010,            ,            ,            ,            
Bras_dOr                  ,  2011,            ,            ,            ,            
Bras_dOr                  ,  2012,            ,            ,            ,            
Bras_dOr                  ,  2013,            ,            ,            ,            
Bras_dOr                  ,  2014,            ,            ,            ,            
Bras_dOr                  ,  2015,            ,            ,            ,            
Bras_dOr                  ,  2016,            ,            ,            ,            
Bras_dOr                  ,  2017,            ,            ,            ,            
Bravo                     ,  2003,       136.9,       2.850,        12.6,       25.00
Bravo                     ,  2004,            ,            ,            ,            
Bravo                     ,  2005,       113.9,       1.077,       143.1,      107.59
Bravo                     ,  2006,            ,            ,            ,            
