                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Avalon_Channel            ,  2012,        92.9,       1.269,        25.9,       22.93
Avalon_Channel            ,  2013,       100.5,       2.208,        21.5,       33.10
Avalon_Channel            ,  2014,       106.0,       4.367,        31.2,       95.01
Avalon_Channel            ,  2015,       114.4,       2.798,        23.3,       45.52
Avalon_Channel            ,  2016,       107.1,       1.627,        26.9,       30.59
Avalon_Channel            ,  2017,       113.2,       1.538,        19.9,       21.36
Avalon_Channel            ,  2018,        92.0,       1.481,        34.0,       35.13
Avalon_Channel            ,  2019,        85.6,       0.789,        49.0,       27.00
Bay_of_Fundy              ,  2012,       117.4,       3.064,        38.9,       83.26
Bay_of_Fundy              ,  2013,            ,            ,            ,            
Bay_of_Fundy              ,  2014,            ,            ,            ,            
Bay_of_Fundy              ,  2015,       123.2,       3.731,        13.8,       36.01
Bay_of_Fundy              ,  2016,            ,            ,            ,            
Bay_of_Fundy              ,  2017,       105.3,       1.290,        42.9,       38.64
Bay_of_Fundy              ,  2018,       119.8,       2.749,        33.8,       64.83
Bay_of_Fundy              ,  2019,       114.0,       1.614,        20.9,       23.55
Bras_dOr                  ,  2012,            ,            ,            ,            
Bras_dOr                  ,  2013,            ,            ,            ,            
Bras_dOr                  ,  2014,            ,            ,            ,            
Bras_dOr                  ,  2015,            ,            ,            ,            
Bras_dOr                  ,  2016,            ,            ,            ,            
Bras_dOr                  ,  2017,            ,            ,            ,            
Bras_dOr                  ,  2018,            ,            ,            ,            
Bras_dOr                  ,  2019,            ,            ,            ,            
Bravo                     ,  2012,       134.8,       1.310,        42.0,       38.38
Bravo                     ,  2013,            ,            ,            ,            
Bravo                     ,  2014,       141.6,       5.371,        19.2,       72.16
Bravo                     ,  2015,       119.1,       6.764,        36.0,      170.23
Bravo                     ,  2016,       157.9,       2.846,        37.1,       73.76
Bravo                     ,  2017,       163.8,       3.707,        40.0,      103.41
Bravo                     ,  2018,       155.6,       1.873,        26.9,       35.21
Bravo                     ,  2019,       137.4,       0.780,       101.0,       54.99
Cabot_Strait              ,  2012,        66.5,       2.278,        64.3,      102.26
Cabot_Strait              ,  2013,        86.6,       2.335,        37.4,       60.98
Cabot_Strait              ,  2014,       104.2,       7.592,        16.6,       88.11
Cabot_Strait              ,  2015,       117.1,       1.353,        21.3,       20.14
Cabot_Strait              ,  2016,        51.6,       1.457,        86.7,       88.20
Cabot_Strait              ,  2017,        81.7,       1.566,        35.3,       38.58
Cabot_Strait              ,  2018,        72.5,       3.404,        61.1,      145.32
Cabot_Strait              ,  2019,        97.5,       2.126,        14.1,       20.94
Central_Scotian_Shelf     ,  2012,        73.8,       1.189,        23.3,       19.35
Central_Scotian_Shelf     ,  2013,        87.6,       1.086,        32.3,       24.53
Central_Scotian_Shelf     ,  2014,        63.1,       0.936,        58.7,       38.34
Central_Scotian_Shelf     ,  2015,        89.9,       1.911,        29.2,       38.95
Central_Scotian_Shelf     ,  2016,        68.7,       0.583,        42.4,       17.26
Central_Scotian_Shelf     ,  2017,        51.9,       0.558,        73.1,       28.48
Central_Scotian_Shelf     ,  2018,        72.3,       1.237,        38.0,       32.83
Central_Scotian_Shelf     ,  2019,        83.0,       1.478,        23.0,       23.78
Eastern_Scotian_Shelf     ,  2012,        73.7,       3.668,        28.8,       73.84
Eastern_Scotian_Shelf     ,  2013,        99.6,       6.530,        15.7,       71.53
Eastern_Scotian_Shelf     ,  2014,        76.5,       1.307,        54.3,       49.56
Eastern_Scotian_Shelf     ,  2015,        89.0,       0.856,        32.7,       19.56
Eastern_Scotian_Shelf     ,  2016,        80.8,       6.599,        12.4,       57.07
Eastern_Scotian_Shelf     ,  2017,        96.9,       1.664,        21.0,       24.40
Eastern_Scotian_Shelf     ,  2018,        90.4,       6.422,        18.0,       80.81
Eastern_Scotian_Shelf     ,  2019,        77.1,       1.801,        36.4,       45.77
Estuary                   ,  2012,       135.0,      12.000,        43.1,      360.95
Estuary                   ,  2013,        99.2,       8.628,        84.1,      506.95
Estuary                   ,  2014,       108.8,      10.727,        82.6,      618.43
Estuary                   ,  2015,       138.9,      12.416,        48.3,      418.59
Estuary                   ,  2016,            ,            ,            ,            
Estuary                   ,  2017,       104.1,       8.762,       116.5,      712.69
Estuary                   ,  2018,       129.6,      12.367,        54.0,      466.23
Estuary                   ,  2019,       111.3,      10.884,       121.8,      925.66
Flemish_Pass              ,  2012,       105.6,       3.344,        22.8,       53.14
Flemish_Pass              ,  2013,       101.9,       2.030,        30.3,       42.90
Flemish_Pass              ,  2014,       102.3,       2.595,        39.5,       71.55
Flemish_Pass              ,  2015,       120.1,       2.132,        18.8,       28.00
Flemish_Pass              ,  2016,        75.1,       1.082,        87.2,       65.83
Flemish_Pass              ,  2017,       102.7,       1.263,        75.4,       66.49
Flemish_Pass              ,  2018,       106.1,       3.209,        34.1,       76.34
Flemish_Pass              ,  2019,       101.3,       1.830,        42.3,       53.99
Georges_Bank              ,  2012,        92.6,       3.124,        14.4,       31.32
Georges_Bank              ,  2013,       115.7,       1.582,        12.6,       13.88
Georges_Bank              ,  2014,        61.7,       3.590,        28.6,       71.82
Georges_Bank              ,  2015,        64.1,       2.428,        53.7,       90.99
Georges_Bank              ,  2016,        66.5,       2.130,        43.0,       63.90
Georges_Bank              ,  2017,       101.9,       1.053,        20.5,       15.04
Georges_Bank              ,  2018,        81.6,       1.498,        23.0,       24.07
Georges_Bank              ,  2019,        82.6,       0.621,        26.2,       11.35
Green-St._Pierre_Bank     ,  2012,        93.9,       1.750,        27.5,       33.56
Green-St._Pierre_Bank     ,  2013,       104.2,       5.483,        13.0,       49.75
Green-St._Pierre_Bank     ,  2014,       118.4,       1.535,        17.2,       18.43
Green-St._Pierre_Bank     ,  2015,        97.4,       0.502,        37.4,       13.09
Green-St._Pierre_Bank     ,  2016,       110.8,       1.105,        24.1,       18.61
Green-St._Pierre_Bank     ,  2017,       108.7,       1.891,        19.8,       26.16
Green-St._Pierre_Bank     ,  2018,       103.1,       0.861,        35.6,       21.41
Green-St._Pierre_Bank     ,  2019,        91.1,       0.729,        38.8,       19.76
Hamilton_Bank             ,  2012,       119.2,       1.000,        48.8,       34.09
Hamilton_Bank             ,  2013,       134.6,       4.144,        10.8,       31.16
Hamilton_Bank             ,  2014,       142.0,       0.660,        41.6,       19.16
Hamilton_Bank             ,  2015,       139.5,       1.820,        21.2,       26.92
Hamilton_Bank             ,  2016,       133.2,       1.723,        40.3,       48.45
Hamilton_Bank             ,  2017,            ,            ,            ,            
Hamilton_Bank             ,  2018,       175.2,       0.730,        24.6,       12.55
Hamilton_Bank             ,  2019,            ,            ,            ,            
Hibernia                  ,  2012,        87.2,       3.416,        19.0,       45.21
Hibernia                  ,  2013,        95.8,       2.445,        26.7,       45.60
Hibernia                  ,  2014,       112.7,       6.251,        18.2,       79.60
Hibernia                  ,  2015,       112.7,       2.771,        25.9,       50.08
Hibernia                  ,  2016,       104.8,       0.778,        45.9,       24.94
Hibernia                  ,  2017,       111.5,       8.889,        13.4,       83.33
Hibernia                  ,  2018,        93.7,       2.761,        27.0,       52.04
Hibernia                  ,  2019,        89.7,       0.671,        59.7,       27.99
Hudson_Strait             ,  2012,            ,            ,            ,            
Hudson_Strait             ,  2013,       154.7,       0.825,       110.2,       63.49
Hudson_Strait             ,  2014,            ,            ,            ,            
Hudson_Strait             ,  2015,            ,            ,            ,            
Hudson_Strait             ,  2016,       142.9,       0.717,       118.5,       59.32
Hudson_Strait             ,  2017,            ,            ,            ,            
Hudson_Strait             ,  2018,       156.2,       0.906,       100.1,       63.32
