bin,sst
19359620,4.15000
19359622,2.90500
19359623,5.52962
19359624,5.01833
19359625,5.54319
19359626,4.65500
19359642,4.97256
19359643,5.36401
19359644,5.72487
19359645,6.43305
19359646,4.87065
19359647,5.09160
19359648,6.04292
19359649,5.38392
19359653,7.42096
19359654,7.66773
19359655,7.84176
19359656,8.08789
19359657,8.22119
19359658,8.47539
19359659,9.00145
19359660,9.27183
19359661,9.42004
19359662,9.76859
19359663,9.79329
19359664,10.07989
19359665,10.35427
19359666,10.71100
19359667,10.66119
19359668,10.78499
19359669,11.06322
19359670,11.30835
19359671,11.41592
19359672,11.56044
19359673,11.62077
19359674,11.97114
19359675,12.10272
19359676,12.20652
19359677,12.32590
19359678,12.38796
19359679,12.53515
19359680,12.72972
19359681,12.97558
19359682,13.25809
19359683,13.52326
19359684,13.83355
19359685,14.03137
19359686,14.16237
19359687,14.55424
19359688,14.90902
19359689,14.44207
19359690,15.07233
19359691,15.73067
19359692,15.66956
19359693,15.64318
19359694,15.62636
19359695,15.54425
19359696,15.73466
19359697,16.09274
19359698,16.13702
19359699,16.13333
19359700,16.31125
19359701,16.53880
19359702,17.10384
19359703,17.08075
19359704,17.06516
19359705,17.02043
19359706,16.88951
19359707,16.61917
19359708,16.28496
19359709,15.67451
19359710,17.04849
19359711,18.92514
19359712,19.66950
19359713,19.97222
19359714,19.36353
19359715,20.13864
19359716,19.83475
19359717,19.58452
19359718,19.37684
19359719,19.74119
19359720,18.99834
19359721,18.42457
19359722,19.69050
19359723,19.82750
19359724,20.54605
19359725,21.28139
19359726,21.81631
19359727,21.64684
19359728,21.05650
19359729,20.57262
19359730,20.40825
19359731,20.04308
19359732,19.63033
19359733,20.57000
19359734,21.74842
19359735,20.61928
19359736,22.72647
19359737,21.85815
19359738,21.70867
19359739,21.76584
19359740,21.88306
19359741,22.00143
19359742,21.30020
19359743,21.25167
19359744,20.39138
19359745,20.82547
19359746,21.25265
19359747,21.66940
19359748,22.41461
19359749,21.96500
19359750,20.51250
19359751,18.01500
19359752,18.23000
19359753,18.90000
19359754,18.54000
19359755,18.27118
19359756,17.64141
19359757,18.25517
19359758,18.05354
19359759,18.26868
19359760,18.30333
19359761,18.29816
19359762,18.26974
19359763,18.27368
19359764,18.28066
19359765,18.18250
19359766,17.39500
19359768,18.15500
19359769,15.53500
19359770,17.37583
19359771,18.27617
19359772,18.34079
19359773,18.21500
19359774,18.37750
19359775,18.12944
19359776,18.00750
19359777,18.22500
19359778,18.33571
19359779,18.23737
19359780,18.20052
19359781,17.46216
19359782,18.19290
19359783,18.13324
19359784,17.84789
19359785,17.80000
19359787,17.30333
19359788,15.82750
19359789,17.79500
19359790,17.65500
19359791,16.53500
19359792,16.38250
19359794,13.36500
19359795,19.87000
19359796,20.09000
19359797,16.09500
19359798,21.41500
19359799,21.31500
19359800,19.63667
19359801,18.69500
19359802,15.98500
19359803,16.60474
19359804,15.92167
19359805,19.94287
19359806,20.71633
19359807,21.17980
19359808,22.15864
19359809,21.95500
19359810,21.93773
19359811,22.15300
19359812,22.17928
19359813,22.01750
19359814,15.85500
19359815,21.02250
19359816,20.01175
19359817,16.92458
19359818,16.37382
19359819,20.09000
19359820,17.03394
19359821,18.45000
19359822,17.37500
19359823,17.48875
19359824,17.20100
19359825,16.74000
19359828,13.43000
19359829,13.59500
19359830,13.55500
19359831,13.80250
19359833,18.11750
